"","PC1","PC2","PC3","PC4","PC5"
"V35_0",-0.077,-0.051,-0.055,-0.034,-0.021
"V36_1_Ref",-0.025,-0.044,-0.042,0.086,0.028
"V38_1_Ref",-0.103,-0.245,-0.12,0.083,0.071
"V39_1_Ref",-0.039,-0.089,-0.013,0.023,0.053
"V40_1_Ref",-0.158,-0.11,-0.09,0.059,0.09
"V41_1_Ref",-0.075,-0.107,0.025,-0.008,-0.039
"V42_1_Ref",-0.037,-0.11,-0.057,0.115,0.019
"V43_1_Ref",-0.138,-0.187,0.123,0.054,0.039
"V45_1_Ref",-0.141,-0.136,0.031,0.03,0.031
"V45_3",0.117,0.158,0.001,0.018,-0.101
"V46_1_Ref",-0.032,0.068,-0.24,0.032,0.06
"V47_3",0.077,0.032,-0.01,0.042,-0.088
"V49_1_Ref",-0.168,0.02,0.068,0.088,0.018
"V50_3",0.062,0.06,-0.083,0,0.03
"V51_1_Ref",-0.104,-0.087,0.068,0.067,0.015
"V62_1_Ref",-0.072,-0.053,0.008,0.022,-0.014
"V66_1_Ref",-0.067,-0.027,-0.03,0.1,-0.023
"V67_3",-0.07,0,-0.018,-0.038,-0.09
"V69_1_Ref",-0.068,0.092,0.046,0.049,-0.086
"V79_1_Ref",-0.092,-0.025,0.006,0.058,-0.079
"V8_1_Ref",-0.103,0.078,0.01,-0.034,-0.03
"V85_1_Ref",0.102,0.06,0.075,0.064,-0.079
"V85_3",-0.14,-0.067,-0.148,-0.112,-0.005
"V86_3",-0.092,0.025,-0.175,-0.146,-0.091
"V87_2",0.058,0.088,0.076,-0.022,-0.052
"V87_3",-0.084,-0.048,-0.143,-0.114,-0.037
"V88_3",-0.081,-0.032,-0.173,-0.141,-0.059
"V89_2",0.043,0.041,0.095,-0.018,-0.047
"V89_3",-0.11,-0.028,-0.18,-0.126,-0.135
"V9_1_Ref",-0.21,0.056,0.191,0.066,-0.026
"V95_Med",0.023,0.055,-0.089,-0.061,0.006
