"","PC1","PC2","PC3","PC4","PC5"
"V4",0.104,NA,NA,NA,NA
"V9",NA,0.243,NA,NA,-0.134
"V13",0.101,NA,NA,NA,NA
"V19",NA,-0.274,NA,NA,NA
"V21",NA,0.14,NA,NA,NA
"V25",NA,NA,-0.199,0.105,NA
"V29",NA,NA,NA,-0.109,NA
"V35",NA,NA,NA,-0.134,0.113
"V42",NA,NA,NA,0.137,NA
"V38",NA,NA,-0.162,0.192,NA
"V36",NA,NA,NA,0.153,NA
"V40",NA,NA,0.124,-0.123,NA
"V43",NA,0.23,-0.214,NA,NA
"V165",NA,NA,-0.133,NA,0.16
"V166",NA,NA,0.153,NA,-0.158
"V167",NA,NA,0.135,NA,-0.163
"V168",NA,NA,0.135,NA,-0.148
"V169",NA,NA,0.134,NA,-0.155
"V82",0.1,NA,NA,NA,NA
"V45",NA,-0.124,0.141,-0.112,NA
"V49",NA,0.157,NA,NA,-0.117
"V69",NA,NA,NA,NA,-0.11
"V85",NA,NA,NA,-0.238,-0.106
"V86",NA,NA,-0.16,-0.287,-0.213
"V87",NA,NA,0.141,0.268,0.221
"V88",NA,NA,-0.149,-0.289,-0.207
"V89",NA,NA,-0.158,-0.306,-0.141
"V108",NA,0.157,NA,NA,NA
"V222",NA,NA,NA,-0.1,NA
"V226",NA,NA,NA,NA,-0.168
"V145",NA,0.123,NA,NA,NA
"V146",NA,0.143,NA,NA,NA
"V147",NA,0.133,NA,NA,NA
"V148",0.114,NA,-0.191,NA,NA
"V149",NA,NA,0.136,NA,NA
"V153",NA,0.2,NA,NA,-0.159
"V154",NA,-0.145,NA,NA,0.148
"V211",NA,0.117,NA,NA,NA
"V243",NA,-0.141,-0.242,0.176,NA
"V244",NA,0.141,0.244,-0.178,NA
"V245",0.107,-0.18,-0.238,0.17,NA
"V246",0.112,-0.106,-0.215,NA,NA
"V178",NA,NA,0.115,NA,NA
"V179",-0.103,NA,NA,NA,NA
"V183",NA,NA,NA,-0.144,NA
"V184",NA,NA,NA,-0.128,NA
"V185",NA,NA,NA,-0.143,NA
"V190",NA,-0.11,NA,NA,NA
"V191",NA,0.101,NA,NA,NA
"V157_Category",NA,NA,-0.137,NA,0.161
"V158_Category",NA,NA,-0.139,NA,0.167
"V159_Category",NA,NA,-0.145,NA,0.171
"V160_Category",NA,NA,-0.145,NA,0.171
"V164_Category",NA,NA,0.138,NA,-0.167
"V95_Category",NA,NA,-0.137,NA,-0.233
"V132_Category",NA,0.101,NA,NA,NA
"V141_Category",NA,NA,NA,NA,-0.108
"V201_Category",NA,NA,NA,-0.108,NA
"V203_Category",NA,-0.124,NA,NA,NA
"V204_Category",NA,-0.136,NA,NA,NA
"V205_Category",NA,-0.141,NA,NA,NA
"V161_Categorized",NA,NA,-0.1,NA,0.158
"V162_Categorized",NA,NA,NA,NA,-0.151
"V163_Categorized",NA,NA,-0.11,NA,0.183
