shortCountry,country,Onshore wind,Offshore wind,Wave device,Geothermal electric plant,Hydroelectric plant,Tidal turbine,Res. roof PV system,Com/gov/Indus roof PV system,Solar PV plant,CSP plant ,Sum(excludeHydro)
 FRA ,France,0.311238012,0.25936501,0.004905917,0.000179643,0.05248191,0.001403169,0.09565453,0.084038783,0.077809503,0.112923523,0.94751809
 GAB ,Gabon,0.171881612,0.143234677,0.05860666,0,0.022045835,0.001176501,0.192815911,0.367268402,0.042970403,0,0.977954166
 GEO ,Georgia,0.149645773,0.124704811,0,2.23E-14,0.337133591,0.000567157,0.16787186,0.182665365,0.037411443,0,0.662866409
 DEU ,Germany,0.220795965,0.229536704,0.000653664,0.000100619,0.009213832,3.58E-05,0.054876346,0.057620188,0.4271639,2.98E-06,0.99078617
 GHA ,Ghana,0.177771606,0.148143005,0.013673407,0,0.069759776,0.000289457,0.199423275,0.23654329,0.044442901,0.109953283,0.930240224
 GIB ,Gibraltar,0,0.981016921,0.001760065,0,0,0.000198979,0.000989445,0.000533377,0,0.015501213,1
 GRC ,Greece,0.352027332,0.035175458,0.027388471,0.020020455,0.066636158,0.001328629,0.160573911,0.142687599,0.088006833,0.106155154,0.933363842
 GTM ,Guatemala,0.173289175,0.028208264,0.01100353,0.221434221,0.053923431,0.000294608,0.13182601,0.251097162,0.043322294,0.085601305,0.946076569
 HTI ,Haiti,0.107942166,0.10608191,0,0,0.009091047,0.002122401,0.260034929,0.127175227,0.268897934,0.118654386,0.990908953
 HND ,Honduras,0.138950823,0.115792353,0.028528262,0.095522643,0.050171384,0.000783616,0.155874321,0.2806396,0.034737706,0.098999291,0.949828615
HKG,"Hong Kong, China",-1.06E-16,0.981709365,0.001463028,0,0,0.000125003,0.011457571,0.005245033,0,0,1
 HUN ,Hungary,0.11545958,0,0,0.017922969,0.001466837,0,0.123639583,0.108249579,0.633261451,0,0.998533162
 ISL ,Iceland,0.220434952,0.183695793,0.029313158,0.226642865,0.280865795,0.003938698,6.86E-11,1.45E-10,0.055108738,0,0.719134204
 IND ,India,0.347283801,0.026687879,0.000521453,0.000225325,0.020874199,0.000153999,0.249186142,0.148877616,0.088802583,0.117387003,0.979125801
 IDN ,Indonesia,0.122530697,0.128772288,0.037076197,0.034490319,0.01028733,0.000259094,0.17334731,0.312462583,0.070627734,0.110146447,0.989712669
 IRN ,"Iran, Islamic Republic of",0.21845246,0.0948753,0,1.69E-05,0.019118884,3.30E-05,0.181688926,0.110382019,0.257732708,0.117699738,0.980881117
 IRQ ,Iraq,0.260228047,0.00666534,0,0,0.032758441,2.01E-05,0.178742522,0.340461948,0.065057012,0.116066573,0.967241559
 IRL ,Ireland,0.367449353,0.306207794,0.05922691,9.30E-15,0.012239598,0.000645238,0.129262478,0.033106291,0.091862338,0,0.987760402
 ISR ,Israel,0.068433836,0.125961811,0,5.38E-15,0.000209187,0.000126225,0.174778822,0.090306249,0.42022412,0.119959751,0.999790814
 ITA ,Italy,0.251505073,0.011282153,0.002164603,0.006093107,0.048473119,0.000124204,0.163799843,0.057221242,0.346159259,0.113177396,0.95152688
 JAM ,Jamaica,0.063637319,0.164880757,0,0,0.004722578,0.002045483,0.221954865,0.239887349,0.183683816,0.119187833,0.995277422
 JPN ,Japan,0.017407179,0.070182363,0.0074151,0.004891825,0.041434949,0.002015161,0.055189464,0.033527255,0.767936705,0,0.958565052
 JOR ,Jordan,0.307912751,0.013695988,0,1.08E-14,0.000717031,5.47E-05,0.214623729,0.266110188,0.076978188,0.119907388,0.99928297
 KAZ ,Kazakhstan,0.457536714,0,0,0,0.013024331,0,0.166238945,0.130378751,0.114384179,0.11843708,0.986975669
 KEN ,Kenya,0.231386649,0.062830634,0.004911219,0.074169881,0.018615293,0.00014903,0.189572894,0.252259188,0.057846662,0.108258549,0.981384706
 PRK ,"Korea, Democratic People's Republic of",0.524167633,0.135004811,0,0,0.084262188,0.008295912,0.095917772,0.019251041,0.131041908,0.002058736,0.915737813
 KOR ,"Korea, Republic of",0.031470726,0.115558634,0,4.39E-16,0.004260002,0.001200379,0.056227587,0.034652292,0.637285626,0.119344754,0.995739998
#N/A,Kosovo,0.242057134,0,0,0.359413581,0.008982031,0,0.164702586,0.085233045,0.063819097,0.075792527,0.99101797
 KWT ,Kuwait,0.011862021,0.116805791,0,0,0,7.64E-05,0.02696701,0.015776576,0.708521395,0.119990835,1
 KGZ ,Kyrgyzstan,0.249723559,0,0,0,0.291372646,0,0.168083165,0.143354458,0.06243089,0.085035283,0.708627355
 LVA ,Latvia,0.35877798,0.29898165,0,1.60E-14,0.140099194,0.000554983,0.069804226,0.042087472,0.089694495,0,0.859900806
 LBN ,Lebanon,0.027380708,0.245683129,0,0,0.018175631,0.00030635,0.162922321,0.086605714,0.341143986,0.117782162,0.98182437
 LBY ,Libya,0.290959552,0.030227388,0,0,0,0.000373859,0.212114446,0.273629729,0.072739888,0.119955137,0.999999999
 LTU ,Lithuania,0.382196415,0.318497013,0,1.17E-14,0.007560384,0.000133827,0.102429581,0.093633676,0.095549104,0,0.992439616
 LUX ,Luxembourg,0.038607635,0,0,0,0.005612924,0,0.013457701,0.014154254,0.928167486,0,0.994387076
 MKD ,"Macedonia, Former Yugoslav Republic of",0.153761923,0,0,3.21E-14,0.120295337,0,0.242220724,0.187645451,0.296076565,0,0.879704663
 MYS ,Malaysia,0.02471655,0.185441607,0.001775172,0,0.029866384,0.000146082,0.249632933,0.138789929,0.25344586,0.116185484,0.970133617
 MLT ,Malta,0.013603546,0,0.007513349,0,0,0.001709423,0.045408454,0.022442684,0.790429276,0.118893267,0.999999999
 MEX ,Mexico,0.191598097,0.159665081,0.007069218,0.022024256,0.029361947,0.000116236,0.214933763,0.214360476,0.047899524,0.112971401,0.970638052
 MDA ,"Moldova, Republic of",0.584017241,0,0,0,0.011492135,0,0.187046055,0.071440259,0.14600431,0,0.988507865
 MNG ,Mongolia,0.344407066,0,0,1.32E-14,0,0,0.231812448,0.217678719,0.086101767,0.12,1
 MON ,Montenegro,0.129733704,0.10811142,0,0,0.333137255,0.002239044,0.145534604,0.169055703,0.032433426,0.079754844,0.666862745
 MAR ,Morocco,0.162415442,0.135346201,0.020681116,3.49E-15,0.025300161,0.000282322,0.18219681,0.318725719,0.04060386,0.114448368,0.974699838
 MOZ ,Mozambique,0.199229588,0.166024656,0.042851279,0,0.070799486,0.015936124,0.22349473,0.127407167,0.049807397,0.104449573,0.929200514
 MMR ,Myanmar,0.153702107,0.128085089,0.006442276,0,0.05869656,0.001840409,0.172422236,0.328423306,0.038425527,0.111962491,0.941303441
