"","Row.names","Description","PC1","PC2","PC3","PC4","PC4.1"
"1","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home.",-0.448654654910885,-0.104248837239761,0.114741518799176,-0.182266371297923,-0.182266371297923
"2","V9_1_Ref","Religion is very important in my life",-0.570402289808762,-0.165781130651996,0.0588272707585131,0.0458830441220281,0.0458830441220281
"3","V9_3","Religion is not very important in my life",0.235849030137577,0.0728516381133215,-0.00275486913910073,-0.0434398195523743,-0.0434398195523743
"4","V9_4","Religion is not important at all in my life",0.217019161730128,0.0682251549980091,0.0756294527017281,-0.0106116495552803,-0.0106116495552803
