"","PC1","PC2","PC3","PC4","PC5"
"V75_4",0.025,0.021,0.011,-0.019,-0.007
"V75_5",0.038,0.01,0.003,-0.006,0.004
"V75_6",0.009,-0.003,-0.012,-0.009,0.001
"V76_1",-0.026,-0.023,0.008,0.024,0.006
"V76_2",-0.017,-0.024,0.031,0.01,0.01
"V76_3",-0.001,-0.015,0.028,0.008,0.009
"V76_4",0.015,0.011,0.004,-0.014,-0.001
"V76_5",0.03,0.033,-0.017,-0.004,-0.004
"V76_6",0,0.004,-0.046,-0.025,-0.007
"V77_1",-0.057,-0.039,-0.026,-0.003,0.054
"V77_2",-0.007,-0.002,-0.005,-0.024,0.004
"V77_3",0.018,0.019,0.034,0,-0.015
"V77_4",0.027,0.013,0.008,0.007,-0.018
"V77_5",0.018,0.005,0.004,0.014,-0.01
"V77_6",0.002,-0.005,-0.006,-0.001,-0.004
"V78_1",-0.039,-0.047,-0.043,-0.002,0.047
"V78_2",-0.004,-0.013,-0.019,-0.021,0.004
"V78_3",0.021,0.021,0.038,0.003,-0.007
"V78_4",0.023,0.02,0.025,0.002,-0.022
"V78_5",0.003,0.007,0.008,0.008,-0.008
"V78_6",-0.003,0.003,0,0.004,-0.004
"V79_1",-0.077,0.009,-0.064,-0.011,0.04
"V79_2",-0.011,0.002,-0.003,-0.034,-0.001
"V79_3",0.021,-0.001,0.038,0.002,-0.006
"V79_4",0.027,0,0.024,0.011,-0.018
"V79_5",0.025,-0.008,0.009,0.021,-0.004
"V79_6",0.012,-0.008,0,0.008,-0.003
"V74_1",-0.052,-0.056,-0.029,0.004,0.045
"V74_2",-0.012,-0.023,-0.009,-0.034,0.024
"V74_3",0.019,0.014,0.045,-0.008,-0.007
"V74_4",0.025,0.021,0.025,-0.002,-0.023
"V74_5",0.009,0.012,0.014,0.01,-0.017
"V74_6",-0.001,0.002,0.002,0.001,-0.004
"V164_r1",-0.016,0.007,-0.026,-0.035,0.01
"V164_r2",0.001,0.004,-0.012,-0.018,0.009
"V164_r3",0.007,0.004,-0.009,-0.015,0.013
"V164_r4",0.007,0,-0.003,-0.007,0.009
"V164_r5",0.001,0.007,-0.01,0,-0.005
"V164_r6",0.003,0.002,0.008,0.013,-0.014
"V164_r7",0.009,0,0.016,0.028,-0.02
"V164_r8",0.006,-0.001,0.019,0.021,-0.006
"V164_r9",-0.004,-0.007,0.015,0.012,0
"V164_r10",-0.011,-0.025,-0.013,-0.016,0.006
"V164_rneg1",0.002,0.008,-0.003,0.007,-0.016
"V164_rneg2",0.001,0.006,0,0.001,0.002
