"","V2","V258","V81","V82","V83"
"239",12,1,2,2,2
"240",12,1,2,2,2
"241",12,1,-2,2,2
"242",12,1,1,2,2
"243",12,1,-2,2,2
"244",12,1,2,2,2
"245",12,1,1,1,2
"246",12,1,-2,2,2
"247",12,1,2,2,2
"248",12,1,1,2,2
"249",12,1,-2,2,2
"250",12,1,1,2,2
"251",12,1,2,2,2
"252",12,1,-2,2,2
"253",12,1,2,2,2
"254",12,1,1,2,2
"255",12,1,1,1,2
"256",12,1,2,2,2
"257",12,1,2,2,2
"258",12,1,2,2,2
"259",12,1,2,2,2
"260",12,1,2,2,2
"261",12,1,3,2,2
"262",12,1,2,2,2
"263",12,1,1,2,2
"264",12,1,2,2,2
"265",12,1,2,2,2
"266",12,1,-2,2,2
"267",12,1,-2,2,2
"268",12,1,-2,2,2
"269",12,1,-2,2,2
"270",12,1,1,2,2
"271",12,1,-2,2,2
"272",12,1,1,2,2
"273",12,1,3,2,2
"274",12,1,2,2,2
"275",12,1,1,2,2
"276",12,1,-2,2,2
"277",12,1,2,2,2
"278",12,1,3,2,2
"279",12,1,1,-2,-2
"280",12,1,1,2,2
"281",12,1,3,2,2
"282",12,1,3,2,2
"283",12,1,3,2,2
"284",12,1,2,2,2
"285",12,1,2,2,2
"286",12,1,-2,2,2
"287",12,1,1,2,2
"288",12,1,-2,2,2
"289",12,1,2,2,2
"290",12,1,3,2,2
"291",12,1,2,2,2
"292",12,1,2,2,2
"293",12,1,-2,2,2
"294",12,1,1,2,2
"295",12,1,-2,2,2
"296",12,1,2,2,2
"297",12,1,2,2,2
"298",12,1,1,2,2
"299",12,1,2,2,2
"300",12,1,-2,2,2
"301",12,1,-2,2,2
"302",12,1,2,2,2
"303",12,1,1,2,2
"304",12,1,-2,2,2
"305",12,1,3,2,2
"306",12,1,1,2,2
"307",12,1,2,2,2
"308",12,1,1,2,2
"309",12,1,3,2,2
"310",12,1,2,2,2
"311",12,1,1,1,2
"312",12,1,1,2,2
"313",12,1,3,2,2
"314",12,1,2,2,2
"315",12,1,-2,2,2
"316",12,1,1,2,2
"317",12,1,3,2,2
"318",12,1,-2,2,2
"319",12,1,1,2,2
"320",12,1,1,1,2
"321",12,1,-2,2,2
"322",12,1,1,2,2
"323",12,1,3,1,2
"324",12,1,3,2,2
"325",12,1,-2,2,2
"326",12,1,3,2,2
"327",12,1,-2,2,2
"328",12,1,3,2,2
"329",12,1,3,2,2
"330",12,1,-2,2,2
"331",12,1,1,1,2
"332",12,1,-2,2,2
"333",12,1,1,1,1
"334",12,1,-2,2,2
"335",12,1,1,2,2
"336",12,1,1,2,2
"337",12,1,2,2,2
"338",12,1,2,2,2
"339",12,1,1,2,2
"340",12,1,2,2,2
"341",12,1,1,2,2
"342",12,1,2,2,2
"343",12,1,1,2,2
"344",12,1,2,2,2
"345",12,1,-2,2,2
"346",12,1,-2,1,2
"347",12,1,2,2,2
"348",12,1,1,2,2
"349",12,1,2,2,2
"350",12,1,1,2,2
"351",12,1,1,2,2
"352",12,1,2,2,2
"353",12,1,2,2,2
"354",12,1,2,2,2
"355",12,1,2,2,2
"356",12,1,2,2,2
"357",12,1,2,2,2
"358",12,1,2,2,2
"359",12,1,2,2,2
"360",12,1,-2,2,2
"361",12,1,-2,-2,-2
"362",12,1,2,2,2
"363",12,1,2,2,2
"364",12,1,1,2,2
"365",12,1,2,2,2
"366",12,1,-2,2,2
"367",12,1,2,2,2
"368",12,1,2,2,2
"369",12,1,2,-2,-2
"370",12,1,-2,2,2
"371",12,1,1,2,2
"372",12,1,2,2,2
"373",12,1,1,2,2
"374",12,1,-2,-2,2
"375",12,1,-2,2,-2
"376",12,1,-2,-2,-2
"377",12,1,2,2,2
"378",12,1,1,1,2
"379",12,1,2,2,-2
"380",12,1,1,2,2
"381",12,1,1,2,2
"382",12,1,1,2,2
"383",12,1,1,2,2
"384",12,1,2,2,2
"385",12,1,2,2,2
"386",12,1,2,2,2
"387",12,1,2,1,1
"388",12,1,2,2,2
"389",12,1,2,2,2
"390",12,1,2,2,2
"391",12,1,3,2,2
"392",12,1,-2,2,2
"393",12,1,-2,2,2
"394",12,1,1,2,2
"395",12,1,-2,2,2
"396",12,1,3,2,2
"397",12,1,3,2,2
"398",12,1,-2,2,2
"399",12,1,-2,2,2
"400",12,1,-2,2,2
"401",12,1,3,2,2
"402",12,1,1,2,2
