Country_Name,GEA Region,2629 - 3066 / Class 3 at 50m,3067 - 3504 / Class 4 at 50m,3505 - 3942 / Class 5 at 50m,3943 - 4000 / Class 6&7 at 50m
Mayotte,SAF,0,0,0,0
Namibia,SAF,0,0,0,0
New Caledonia,PAS,0,0,0,0
Niger,WCA,0,0,0,0
Nigeria,WCA,0,0,0,0
Nicaragua,LAC,"6,821","4,058","1,859","1,696"
Netherlands,WEU,"4,051","6,026",167,0
Norway,WEU,"29,864","42,850","116,142","22,894"
Nepal,OSA,"1,748","1,297","1,097","3,464"
New Zealand,OCN,"1,298","1,547","4,983","2,502"
Oman,MEE,0,0,0,0
Pakistan,OSA,"42,864","18,106","5,218","3,038"
Panama,LAC,0,0,0,0
Peru,LAC,"79,164","143,342","142,913","305,793"
Philippines,PAS,"5,538","2,842","1,467","1,208"
Papua New Guinea,PAS,0,0,0,0
Poland,EEU,"2,931","3,358",0,0
Puerto Rico,USA,17,2,1,1
North Korea,OEA,"6,245",0,0,0
Portugal,WEU,"3,204","2,407",0,0
Paraguay,LAC,0,0,0,0
French Polynesia,PAS,No Data,No Data,No Data,No Data
Qatar,MEE,0,0,0,0
Juan De Nova I.,SAF,0,0,0,0
Romania,EEU,0,0,0,0
Russia,FSU,"740,568","331,982","77,476","2,784"
Rwanda,SAF,0,0,0,0
Saudi Arabia,MEE,0,0,0,0
Sudan,NAF,0,0,0,0
Senegal,WCA,0,0,0,0
Singapore,PAS,0,0,0,0
Jan Mayen/Svalbard,WEU,"1,834","11,077","23,312","3,939"
Solomon Is.,PAS,0,0,0,0
Sierra Leone,WCA,0,0,0,0
El Salvador,LAC,"1,195",750,313,313
San Marino,WEU,0,0,0,0
Somalia,EAF,0,0,0,0
St. Pierre & Miquelon,CAN,0,0,151,0
Serbia,EEU,0,0,0,0
Sao Tome & Principe,WCA,0,0,0,0
Suriname,LAC,0,0,0,0
Slovakia,EEU,0,0,0,0
Slovenia,EEU,0,0,0,0
Sweden,WEU,"37,202","39,863","40,226","9,914"
Swaziland,SAF,0,0,0,0
Seychelles,EAF,No Data,No Data,No Data,No Data
Syria,MEE,0,0,0,0
Turks & Caicos Is.,LAC,0,0,0,0
Chad,WCA,0,0,0,0
Togo,WCA,0,0,0,0
Thailand,PAS,0,0,0,0
Tajikistan,FSU,0,0,0,0
Turkmenistan,FSU,0,0,0,0
Timor-Leste,PAS,0,0,0,0
Tonga,PAS,0,0,0,0
Trinidad & Tobago,LAC,0,0,0,0
Tunisia,NAF,0,0,0,0
Turkey,WEU,0,0,0,0
Tuvalu,PAS,No Data,No Data,No Data,No Data
Tanzania,SAF,0,0,0,0
Uganda,EAF,0,0,0,0
Ukraine,FSU,0,0,0,0
Wake I.,PAS,No Data,No Data,No Data,No Data
Uruguay,LAC,"5,330",0,0,0
United States,USA,"1,215,534","644,207","192,476","185,218"
Uzbekistan,FSU,0,0,0,0
St. Vincent & the Grenadines,LAC,0,0,0,0
Venezuela,LAC,"10,950",0,0,0
