"","V2","V258","V231","V232","V233","V239"
"192",12,1,-3,-3,-3,8
"193",12,1,-3,-3,-3,2
"194",12,1,-3,-3,-3,2
"195",12,1,-3,-3,-3,5
"196",12,1,-3,-3,-3,5
"197",12,1,-3,-3,-3,8
"198",12,1,-3,-3,-3,9
"199",12,1,-3,-3,-3,9
"200",12,1,8,4,-2,8
"201",12,1,-3,-3,-3,6
"202",12,1,-3,-3,-3,8
"203",12,1,6,6,6,6
"204",12,1,-3,-3,-3,9
"205",12,1,1,1,9,5
"206",12,1,1,1,4,4
"207",12,1,1,1,10,9
"208",12,1,6,6,6,8
"209",12,1,-3,-3,-3,8
"210",12,1,-3,-3,-3,7
"211",12,1,-3,-3,-3,9
"212",12,1,-3,-3,-3,8
"213",12,1,-3,-3,-3,7
"214",12,1,3,3,10,5
"215",12,1,10,9,4,4
"216",12,1,5,7,4,8
"217",12,1,-3,-3,-3,8
"218",12,1,6,5,5,8
"219",12,1,-3,-3,-3,7
"220",12,1,3,3,4,6
"221",12,1,-3,-3,-3,8
"222",12,1,2,8,6,7
"223",12,1,-3,-3,-3,5
"224",12,1,8,7,6,6
"225",12,1,-3,-3,-3,7
"226",12,1,7,7,6,7
"227",12,1,-3,-3,-3,8
"228",12,1,8,8,8,7
"229",12,1,-3,-3,-3,5
"230",12,1,4,6,3,7
"231",12,1,-3,-3,-3,4
"232",12,1,3,3,3,8
"233",12,1,-3,-3,-3,7
"234",12,1,8,7,5,8
"235",12,1,9,8,9,8
"236",12,1,7,5,3,7
"237",12,1,-3,-3,-3,3
"238",12,1,3,5,2,3
"239",12,1,-3,-3,-3,9
"240",12,1,7,6,4,5
"241",12,1,-3,-3,-3,5
"242",12,1,2,1,3,6
"243",12,1,-3,-3,-3,7
"244",12,1,1,2,2,4
"245",12,1,10,6,9,6
"246",12,1,10,7,9,5
"247",12,1,10,6,10,8
"248",12,1,2,1,2,8
"249",12,1,-3,-3,-3,3
"250",12,1,3,8,9,5
"251",12,1,-3,-3,-3,8
"252",12,1,-3,-3,-3,5
"253",12,1,2,4,2,4
"254",12,1,6,7,3,7
"255",12,1,10,8,10,8
"256",12,1,-3,-3,-3,7
"257",12,1,-3,-3,-3,7
"258",12,1,-3,-3,-3,9
"259",12,1,4,5,1,2
"260",12,1,7,8,4,7
"261",12,1,-3,-3,-3,5
"262",12,1,9,9,9,7
"263",12,1,-3,-3,-3,8
"264",12,1,-3,-3,-3,4
"265",12,1,-2,1,-2,2
"266",12,1,-3,-3,-3,3
"267",12,1,-3,-3,-3,5
"268",12,1,7,8,8,3
"269",12,1,8,5,7,7
"270",12,1,10,10,10,3
"271",12,1,7,6,7,7
"272",12,1,-3,-3,-3,5
"273",12,1,5,6,6,4
"274",12,1,1,1,1,5
"275",12,1,5,1,3,6
"276",12,1,5,5,2,2
"277",12,1,-2,-2,-2,1
"278",12,1,5,8,3,7
"279",12,1,4,4,4,4
"280",12,1,-3,-3,-3,5
"281",12,1,-3,-3,-3,6
"282",12,1,1,5,4,6
"283",12,1,8,7,4,3
"284",12,1,-3,-3,-3,2
"285",12,1,6,6,5,5
"286",12,1,1,1,1,5
"287",12,1,-2,-2,-2,8
"288",12,1,8,5,5,3
"289",12,1,5,5,3,6
"290",12,1,-3,-3,-3,3
"291",12,1,-3,-3,-3,7
"292",12,1,-3,-3,-3,5
"293",12,1,9,5,4,2
"294",12,1,-3,-3,-3,7
"295",12,1,4,4,6,4
"296",12,1,-3,-3,-3,4
"297",12,1,-2,-2,-2,5
"298",12,1,1,1,1,8
"299",12,1,3,2,10,6
"300",12,1,-3,-3,-3,6
"301",12,1,-3,-3,-3,3
"302",12,1,-3,-3,-3,5
"303",12,1,10,10,8,10
"304",12,1,1,8,7,1
"305",12,1,-3,-3,-3,1
"306",12,1,9,7,5,6
"307",12,1,10,5,6,5
"308",12,1,5,5,1,8
"309",12,1,5,9,1,5
"310",12,1,-3,-3,-3,5
"311",12,1,-3,-3,-3,3
"312",12,1,-3,-3,-3,7
"313",12,1,3,3,3,4
"314",12,1,3,3,9,5
"315",12,1,-3,-3,-3,3
"316",12,1,-3,-3,-3,5
"317",12,1,7,6,7,6
"318",12,1,-3,-3,-3,3
"319",12,1,-3,-3,-3,6
"320",12,1,1,1,10,10
"321",12,1,-3,-3,-3,2
"322",12,1,-3,-3,-3,4
"323",12,1,-3,-3,-3,3
"324",12,1,2,2,2,1
"325",12,1,-3,-3,-3,3
"326",12,1,4,4,4,3
"327",12,1,-3,-3,-3,3
"328",12,1,-3,-3,-3,2
"329",12,1,3,3,9,3
"330",12,1,-3,-3,-3,4
"331",12,1,-3,-3,-3,5
"332",12,1,-3,-3,-3,4
"333",12,1,-3,-3,-3,4
"334",12,1,-3,-3,-3,6
"335",12,1,4,5,5,6
"336",12,1,-3,-3,-3,8
"337",12,1,-3,-3,-3,6
"338",12,1,1,1,3,5
"339",12,1,1,2,7,3
"340",12,1,-3,-3,-3,3
"341",12,1,-3,-3,-3,5
"342",12,1,-3,-3,-3,6
"343",12,1,-3,-3,-3,6
"344",12,1,-3,-3,-3,7
"345",12,1,-3,-3,-3,4
"346",12,1,10,1,2,6
"347",12,1,1,2,2,2
"348",12,1,-3,-3,-3,4
"349",12,1,-3,-3,-3,6
"350",12,1,1,1,3,6
"351",12,1,-3,-3,-3,7
"352",12,1,-3,-3,-3,5
"353",12,1,-3,-3,-3,5
"354",12,1,2,2,3,7
"355",12,1,-3,-3,-3,7
"356",12,1,1,1,3,5
"357",12,1,-3,-3,-3,4
"358",12,1,1,3,4,3
"359",12,1,1,1,1,6
"360",12,1,-3,-3,-3,6
"361",12,1,-3,-3,-3,6
"362",12,1,-3,-3,-3,4
"363",12,1,-3,-3,-3,3
"364",12,1,8,7,8,5
"365",12,1,1,1,1,6
"366",12,1,-3,-3,-3,4
"367",12,1,5,5,5,5
"368",12,1,10,3,6,8
"369",12,1,10,10,10,3
"370",12,1,-3,-3,-3,7
"371",12,1,-3,-3,-3,5
"372",12,1,-3,-3,-3,5
"373",12,1,-3,-3,-3,2
"374",12,1,10,10,10,1
"375",12,1,-2,-2,-2,1
"376",12,1,5,5,5,1
"377",12,1,5,5,5,1
"378",12,1,9,5,5,5
"379",12,1,7,7,7,2
"380",12,1,10,10,10,5
"381",12,1,-3,-3,-3,7
"382",12,1,-3,-3,-3,7
"383",12,1,-3,-3,-3,6
"384",12,1,-3,-3,-3,5
"385",12,1,3,3,2,6
"386",12,1,-3,-3,-3,5
"387",12,1,2,3,5,6
"388",12,1,-3,-3,-3,6
"389",12,1,6,5,8,8
"390",12,1,-3,-3,-3,3
"391",12,1,-3,-3,-3,3
"392",12,1,-3,-3,-3,4
"393",12,1,-3,-3,-3,2
"394",12,1,-3,-3,-3,4
"395",12,1,-3,-3,-3,2
"396",12,1,-3,-3,-3,2
"397",12,1,4,4,4,4
"398",12,1,-3,-3,-3,2
"399",12,1,-3,-3,-3,2
"400",12,1,-3,-3,-3,2
"401",12,1,-3,-3,-3,6
"402",12,1,-3,-3,-3,7
"403",12,1,-3,-3,-3,3
"404",12,1,-3,-3,-3,8
"405",12,1,-3,-3,-3,7
"406",12,1,1,1,10,6
"407",12,1,5,5,1,5
"408",12,1,10,1,3,1
"409",12,1,-3,-3,-3,5
"410",12,1,-3,-3,-3,7
"411",12,1,-3,-3,-3,5
"412",12,1,-3,-3,-3,6
"413",12,1,-3,-3,-3,2
"414",12,1,-3,-3,-3,5
"415",12,1,10,10,10,5
"416",12,1,10,6,10,9
"417",12,1,-3,-3,-3,2
"418",12,1,2,2,6,5
"419",12,1,6,1,1,5
"420",12,1,5,5,3,7
"421",12,1,-3,-3,-3,2
"422",12,1,-3,-3,-3,5
"423",12,1,5,2,8,5
"424",12,1,-3,-3,-3,3
"425",12,1,-3,-3,-3,6
"426",12,1,10,10,10,6
"427",12,1,1,1,1,2
"428",12,1,-3,-3,-3,6
"429",12,1,6,4,5,6
"430",12,1,-3,-3,-3,5
"431",12,1,-3,-3,-3,4
"432",12,1,-3,-3,-3,3
"433",12,1,3,4,5,4
"434",12,1,9,3,6,4
"435",12,1,-2,-2,-2,2
"436",12,1,4,4,4,4
"437",12,1,1,1,3,2
"438",12,1,2,2,10,2
"439",12,1,-3,-3,-3,2
"440",12,1,-3,-3,-3,3
"441",12,1,-3,-3,-3,3
"442",12,1,-3,-3,-3,5
"443",12,1,-3,-3,-3,7
"444",12,1,3,5,5,3
"445",12,1,-3,-3,-3,5
"446",12,1,4,6,4,5
"447",12,1,-3,-3,-3,4
"448",12,1,1,1,10,5
"449",12,1,7,3,5,7
"450",12,1,1,3,5,4
"451",12,1,-3,-3,-3,5
"452",12,1,-3,-3,-3,2
"453",12,1,7,7,6,7
"454",12,1,1,5,5,7
"455",12,1,-3,-3,-3,6
"456",12,1,1,5,4,5
"457",12,1,-3,-3,-3,2
"458",12,1,-3,-3,-3,5
"459",12,1,2,2,2,3
"460",12,1,5,1,2,3
"461",12,1,-3,-3,-3,10
"462",12,1,-3,-3,-3,5
"463",12,1,10,5,5,10
"464",12,1,-3,-3,-3,1
"465",12,1,-3,-3,-3,3
"466",12,1,5,5,5,5
"467",12,1,-3,-3,-3,10
"468",12,1,5,5,5,4
"469",12,1,-3,-3,-3,5
"470",12,1,5,5,5,5
"471",12,1,-3,-3,-3,4
"472",12,1,-3,-3,-3,6
"473",12,1,-3,-3,-3,4
"474",12,1,-3,-3,-3,1
"475",12,1,5,5,5,4
"476",12,1,5,5,1,1
"477",12,1,-3,-3,-3,4
"478",12,1,-3,-3,-3,2
"479",12,1,1,1,1,7
"480",12,1,1,5,5,5
"481",12,1,8,7,8,9
"482",12,1,-3,-3,-3,3
"483",12,1,4,7,9,3
"484",12,1,-3,-3,-3,7
"485",12,1,7,5,5,7
"486",12,1,-3,-3,-3,4
"487",12,1,7,3,6,6
"488",12,1,10,10,10,3
"489",12,1,7,8,8,9
"490",12,1,-3,-3,-3,6
"491",12,1,-3,-3,-3,5
"492",12,1,6,5,3,5
"493",12,1,8,6,5,4
"494",12,1,5,10,7,4
"495",12,1,4,5,6,2
"496",12,1,-3,-3,-3,3
"497",12,1,1,1,1,5
"498",12,1,3,4,2,2
"499",12,1,3,7,3,7
"500",12,1,-3,-3,-3,2
"501",12,1,-3,-3,-3,5
"502",12,1,-3,-3,-3,2
"503",12,1,-3,-3,-3,3
"504",12,1,-3,-3,-3,4
"505",12,1,6,6,6,4
"506",12,1,-3,-3,-3,2
"507",12,1,5,5,5,3
"508",12,1,-3,-3,-3,2
"509",12,1,3,3,3,7
"510",12,1,2,2,2,2
"511",12,1,-3,-3,-3,4
"512",12,1,-3,-3,-3,2
"513",12,1,-3,-3,-3,3
"514",12,1,-3,-3,-3,2
"515",12,1,5,5,5,2
"516",12,1,4,4,4,2
"517",12,1,5,5,5,2
"518",12,1,3,3,8,5
"519",12,1,3,3,4,2
"520",12,1,-2,-2,-2,2
"521",12,1,-3,-3,-3,3
"522",12,1,-3,-3,-3,2
"523",12,1,-3,-3,-3,1
"524",12,1,10,9,9,10
"525",12,1,5,1,5,3
"526",12,1,5,5,5,5
"527",12,1,5,5,5,5
"528",12,1,-3,-3,-3,2
"529",12,1,5,5,5,3
"530",12,1,1,1,1,1
"531",12,1,-3,-3,-3,4
"532",12,1,10,4,8,7
"533",12,1,-3,-3,-3,1
"534",12,1,-3,-3,-3,8
"535",12,1,5,5,5,3
"536",12,1,-2,-2,-2,8
"537",12,1,10,10,10,3
"538",12,1,-3,-3,-3,5
"539",12,1,1,1,1,3
"540",12,1,-3,-3,-3,2
"541",12,1,-3,-3,-3,10
"542",12,1,9,-2,10,8
"543",12,1,10,10,10,7
"544",12,1,10,2,10,10
"545",12,1,-3,-3,-3,10
"546",12,1,5,5,5,5
"547",12,1,-3,-3,-3,4
"548",12,1,10,10,10,4
"549",12,1,5,5,5,3
"550",12,1,10,10,10,10
"551",12,1,1,1,1,5
"552",12,1,-2,-2,-2,5
"553",12,1,1,10,1,3
"554",12,1,-3,-3,-3,6
"555",12,1,1,1,1,1
"556",12,1,-3,-3,-3,5
"557",12,1,-3,-3,-3,5
"558",12,1,10,5,5,5
"559",12,1,2,1,1,3
"560",12,1,-3,-3,-3,6
"561",12,1,-3,-3,-3,5
"562",12,1,-3,-3,-3,4
"563",12,1,-3,-3,-3,5
"564",12,1,10,10,1,3
"565",12,1,-3,-3,-3,3
"566",12,1,10,1,5,5
"567",12,1,10,10,1,5
"568",12,1,1,1,5,4
"569",12,1,-3,-3,-3,4
"570",12,1,10,10,1,4
"571",12,1,-3,-3,-3,4
"572",12,1,-3,-3,-3,6
"573",12,1,-3,-3,-3,4
"574",12,1,10,5,1,4
"575",12,1,1,1,1,4
"576",12,1,1,1,1,4
"577",12,1,8,7,1,5
"578",12,1,-3,-3,-3,4
"579",12,1,1,1,1,6
"580",12,1,-3,-3,-3,4
"581",12,1,-3,-3,-3,4
"582",12,1,-3,-3,-3,4
"583",12,1,-3,-3,-3,7
"584",12,1,-3,-3,-3,3
"585",12,1,-3,-3,-3,4
"586",12,1,5,5,5,4
"587",12,1,10,5,10,7
"588",12,1,-3,-3,-3,5
"589",12,1,-3,-3,-3,2
"590",12,1,1,1,1,1
"591",12,1,-3,-3,-3,6
"592",12,1,10,5,1,5
"593",12,1,-3,-3,-3,7
"594",12,1,1,5,1,4
"595",12,1,-3,-3,-3,7
"596",12,1,-2,-2,-2,4
"597",12,1,-3,-3,-3,4
"598",12,1,-3,-3,-3,5
"599",12,1,-3,-3,-3,7
"600",12,1,6,6,6,6
"601",12,1,-3,-3,-3,5
"602",12,1,-3,-3,-3,5
"603",12,1,-3,-3,-3,4
"604",12,1,5,5,1,3
"605",12,1,-2,-2,-2,5
"606",12,1,6,6,1,4
"607",12,1,-3,-3,-3,4
"608",12,1,-3,-3,-3,4
"609",12,1,5,5,5,5
"610",12,1,10,10,7,5
"611",12,1,-3,-3,-3,5
"612",12,1,-3,-3,-3,5
"613",12,1,10,5,5,4
"614",12,1,-3,-3,-3,7
"615",12,1,-3,-3,-3,3
"616",12,1,5,5,5,5
"617",12,1,5,5,5,5
"618",12,1,-3,-3,-3,3
"619",12,1,5,5,5,4
"620",12,1,-3,-3,-3,4
"621",12,1,-3,-3,-3,4
"622",12,1,-3,-3,-3,3
"623",12,1,5,5,5,4
"624",12,1,7,7,7,3
"625",12,1,10,10,5,7
"626",12,1,-3,-3,-3,3
"627",12,1,10,10,5,4
"628",12,1,6,6,6,6
"629",12,1,-3,-3,-3,7
"630",12,1,-3,-3,-3,4
"631",12,1,-3,-3,-3,4
"632",12,1,-3,-3,-3,8
"633",12,1,5,5,1,4
"634",12,1,-3,-3,-3,7
"635",12,1,9,1,5,5
"636",12,1,-3,-3,-3,5
"637",12,1,-3,-3,-3,3
"638",12,1,1,5,1,3
"639",12,1,10,10,1,3
"640",12,1,1,1,1,5
"641",12,1,-3,-3,-3,5
"642",12,1,-3,-3,-3,1
"643",12,1,-3,-3,-3,1
"644",12,1,6,1,5,4
"645",12,1,1,1,5,5
"646",12,1,5,5,-2,5
"647",12,1,1,1,1,5
"648",12,1,-3,-3,-3,5
"649",12,1,5,5,-2,5
"650",12,1,1,1,-2,3
"651",12,1,-3,-3,-3,5
"652",12,1,1,1,1,1
"653",12,1,1,1,1,1
"654",12,1,1,1,1,1
"655",12,1,1,1,1,1
"656",12,1,1,1,1,1
"657",12,1,-2,-2,-2,8
"658",12,1,10,6,6,8
"659",12,1,-3,-3,-3,5
"660",12,1,-3,-3,-3,5
"661",12,1,-3,-3,-3,5
"662",12,1,7,5,2,6
"663",12,1,8,3,3,2
"664",12,1,1,9,10,5
"665",12,1,-3,-3,-3,4
"666",12,1,-3,-3,-3,5
"667",12,1,1,1,1,2
"668",12,1,7,5,4,5
"669",12,1,10,2,3,7
"670",12,1,-3,-3,-3,5
"671",12,1,-3,-3,-3,7
"672",12,1,-3,-3,-3,3
"673",12,1,-3,-3,-3,4
"674",12,1,-3,-3,-3,1
"675",12,1,1,1,1,3
"676",12,1,1,1,10,5
"677",12,1,7,5,5,6
"678",12,1,-3,-3,-3,4
"679",12,1,-3,-3,-3,2
"680",12,1,5,5,5,5
"681",12,1,-3,-3,-3,5
"682",12,1,-3,-3,-3,2
"683",12,1,-3,-3,-3,1
"684",12,1,-3,-3,-3,2
"685",12,1,9,3,5,3
"686",12,1,4,4,3,4
"687",12,1,4,4,9,4
"688",12,1,4,4,7,5
"689",12,1,-3,-3,-3,4
"690",12,1,-3,-3,-3,3
"691",12,1,-3,-3,-3,2
"692",12,1,-3,-3,-3,3
"693",12,1,4,4,9,5
"694",12,1,4,5,5,4
"695",12,1,3,3,3,3
"696",12,1,-3,-3,-3,2
"697",12,1,3,3,6,3
"698",12,1,-3,-3,-3,2
"699",12,1,4,4,3,6
"700",12,1,-3,-3,-3,2
"701",12,1,-3,-3,-3,5
"702",12,1,8,-2,8,7
"703",12,1,9,8,7,3
"704",12,1,10,4,8,7
"705",12,1,5,3,5,5
"706",12,1,-3,-3,-3,5
"707",12,1,6,-2,-2,7
"708",12,1,8,8,6,7
"709",12,1,7,6,7,7
"710",12,1,10,10,-2,4
"711",12,1,-3,-3,-3,4
"712",12,1,-3,-3,-3,9
"713",12,1,10,10,10,2
"714",12,1,5,5,5,5
"715",12,1,-2,-2,-2,6
"716",12,1,1,10,10,7
"717",12,1,1,1,10,5
"718",12,1,10,10,10,5
"719",12,1,-3,-3,-3,2
"720",12,1,-3,-3,-3,7
"721",12,1,-3,-3,-3,2
"722",12,1,-3,-3,-3,2
"723",12,1,9,9,7,5
"724",12,1,-3,-3,-3,2
"725",12,1,3,3,3,2
"726",12,1,3,3,3,2
"727",12,1,6,6,6,4
"728",12,1,4,4,8,5
"729",12,1,-3,-3,-3,4
"730",12,1,-3,-3,-3,2
"731",12,1,-3,-3,-3,8
"732",12,1,-3,-3,-3,8
"733",12,1,-3,-3,-3,8
"734",12,1,-3,-3,-3,5
"735",12,1,-3,-3,-3,6
"736",12,1,-3,-3,-3,6
"737",12,1,8,6,4,8
"738",12,1,7,5,3,8
"739",12,1,-3,-3,-3,5
"740",12,1,6,7,5,7
"741",12,1,-3,-3,-3,6
"742",12,1,-3,-3,-3,3
"743",12,1,-3,-3,-3,4
"744",12,1,1,1,1,4
"745",12,1,10,1,1,3
"746",12,1,-3,-3,-3,4
"747",12,1,-3,-3,-3,3
"748",12,1,5,8,6,3
"749",12,1,5,5,5,4
"750",12,1,10,10,5,4
"751",12,1,-3,-3,-3,5
"752",12,1,5,5,3,3
"753",12,1,-3,-3,-3,3
"754",12,1,-3,-3,-3,1
"755",12,1,1,1,5,5
"756",12,1,-3,-3,-3,4
"757",12,1,10,1,5,5
"758",12,1,-3,-3,-3,8
"759",12,1,-3,-3,-3,4
"760",12,1,-3,-3,-3,3
"761",12,1,-3,-3,-3,7
"762",12,1,-3,-3,-3,6
"763",12,1,1,1,1,5
"764",12,1,-3,-3,-3,5
"765",12,1,-3,-3,-3,5
"766",12,1,4,4,5,4
"767",12,1,5,5,5,5
"768",12,1,6,6,6,4
"769",12,1,-3,-3,-3,7
"770",12,1,-3,-3,-3,6
"771",12,1,-3,-3,-3,7
"772",12,1,-3,-3,-3,3
"773",12,1,-3,-3,-3,6
"774",12,1,-3,-3,-3,6
"775",12,1,3,3,10,7
"776",12,1,2,2,10,5
"777",12,1,10,4,10,4
"778",12,1,5,2,10,4
"779",12,1,-3,-3,-3,5
"780",12,1,9,2,1,9
"781",12,1,-3,-3,-3,6
"782",12,1,-3,-3,-3,3
"783",12,1,-3,-3,-3,5
"784",12,1,-3,-3,-3,3
"785",12,1,-3,-3,-3,3
"786",12,1,4,4,4,4
"787",12,1,-2,1,10,7
"788",12,1,-3,-3,-3,5
"789",12,1,-3,-3,-3,7
"790",12,1,9,3,8,7
"791",12,1,-3,-3,-3,7
"792",12,1,-3,-3,-3,2
"793",12,1,-3,-3,-3,10
"794",12,1,1,-2,-2,2
"795",12,1,-3,-3,-3,1
"796",12,1,-3,-3,-3,8
"797",12,1,-3,-3,-3,5
"798",12,1,5,5,5,5
"799",12,1,-3,-3,-3,2
"800",12,1,9,2,5,7
"801",12,1,7,5,6,6
"802",12,1,7,7,3,5
"803",12,1,-3,-3,-3,6
"804",12,1,7,5,7,6
"805",12,1,8,7,3,5
"806",12,1,6,6,6,5
"807",12,1,4,4,2,2
"808",12,1,4,4,2,2
"809",12,1,-3,-3,-3,5
"810",12,1,9,5,3,4
"811",12,1,-3,-3,-3,2
"812",12,1,-3,-3,-3,2
"813",12,1,10,10,10,3
"814",12,1,10,10,10,2
"815",12,1,-3,-3,-3,2
"816",12,1,4,6,10,4
"817",12,1,6,9,5,1
"818",12,1,-3,-3,-3,5
"819",12,1,-3,-3,-3,10
"820",12,1,3,8,8,6
"821",12,1,-3,-3,-3,9
"822",12,1,-3,-3,-3,1
"823",12,1,-3,-3,-3,9
"824",12,1,10,1,1,5
"825",12,1,10,1,5,3
"826",12,1,-3,-3,-3,7
"827",12,1,-3,-3,-3,3
"828",12,1,10,1,5,5
"829",12,1,10,10,10,7
"830",12,1,1,1,10,5
"831",12,1,-3,-3,-3,8
"832",12,1,-3,-3,-3,4
