"","PC1","PC2","PC3","PC4","PC5"
"V51_2",NA,NA,NA,NA,NA
"V51_3",NA,NA,NA,NA,NA
"V51_4",NA,NA,NA,NA,NA
"V52_2",NA,NA,NA,NA,NA
"V52_3",NA,NA,NA,NA,NA
"V52_4",NA,NA,NA,NA,NA
"V50_2",NA,NA,NA,NA,NA
"V50_3",NA,NA,NA,NA,NA
"V50_4",NA,NA,NA,NA,NA
"V48_2",NA,NA,NA,NA,NA
"V48_3",NA,NA,NA,NA,NA
"V47_2",NA,NA,NA,NA,NA
"V47_3",NA,NA,NA,NA,NA
"V53_2",NA,NA,NA,NA,NA
"V53_3",NA,NA,NA,NA,NA
"V53_4",NA,NA,NA,NA,NA
"V60_2",NA,NA,NA,NA,NA
"V60_3",NA,NA,NA,NA,NA
"V60_4",NA,NA,NA,NA,NA
"V61_2",NA,NA,NA,NA,NA
"V61_3",NA,NA,NA,NA,NA
"V61_4",NA,NA,NA,NA,NA
"V62_2",NA,NA,NA,NA,NA
"V62_3",NA,NA,NA,NA,NA
"V62_4",NA,NA,NA,NA,NA
"V63_2",NA,NA,NA,NA,NA
"V63_3",NA,NA,NA,NA,NA
"V63_4",NA,NA,NA,NA,NA
"V64_2",NA,NA,NA,NA,NA
"V64_3",NA,NA,NA,NA,NA
"V64_4",NA,NA,NA,NA,NA
"V65_2",NA,NA,NA,NA,NA
"V65_3",NA,NA,NA,NA,NA
"V65_4",NA,NA,NA,NA,NA
"V66_2",NA,NA,NA,NA,NA
"V67_2",NA,NA,NA,NA,NA
"V67_3",NA,NA,NA,NA,NA
"V68_2",NA,NA,NA,NA,NA
"V68_3",NA,NA,NA,NA,NA
"V69_2",NA,NA,NA,NA,NA
"V69_3",NA,NA,NA,NA,NA
"V80_2",NA,NA,NA,NA,NA
"V80_3",NA,NA,NA,NA,NA
"V80_4",NA,NA,NA,NA,NA
"V80_5",NA,NA,NA,NA,NA
"V84_2",NA,NA,NA,NA,NA
"V84_3",NA,NA,NA,NA,NA
"V84_4",NA,NA,NA,NA,NA
"V85_2",NA,NA,NA,NA,NA
"V85_3",-0.147,NA,NA,0.101,-0.142
"V86_2",NA,NA,NA,-0.107,NA
"V86_3",NA,NA,NA,0.158,-0.182
"V87_2",NA,NA,NA,NA,NA
"V87_3",NA,NA,NA,NA,-0.147
"V88_2",NA,NA,NA,NA,NA
"V88_3",NA,NA,NA,0.123,-0.189
"V89_2",NA,NA,NA,NA,NA
"V89_3",-0.113,NA,NA,0.127,-0.131
"V108_2",NA,NA,NA,NA,NA
"V108_3",NA,NA,NA,NA,NA
"V108_4",NA,NA,NA,NA,NA
"V109_2",NA,NA,NA,NA,NA
"V109_3",NA,NA,NA,NA,NA
"V109_4",NA,NA,NA,NA,NA
"V110_2",NA,NA,NA,NA,NA
"V110_3",NA,NA,NA,NA,NA
"V110_4",NA,NA,NA,NA,NA
"V111_2",NA,NA,NA,NA,NA
"V111_3",NA,NA,NA,NA,NA
"V111_4",NA,NA,NA,NA,NA
"V112_2",NA,NA,-0.112,NA,NA
"V112_3",NA,NA,NA,NA,NA
"V112_4",NA,NA,NA,NA,NA
"V113_2",NA,NA,NA,NA,NA
"V113_3",NA,NA,NA,NA,NA
"V113_4",NA,NA,NA,NA,NA
"V114_2",NA,NA,NA,NA,NA
"V114_3",NA,NA,NA,NA,NA
"V114_4",NA,NA,NA,NA,NA
"V115_2",NA,NA,NA,NA,NA
"V115_3",NA,NA,NA,NA,NA
"V115_4",NA,NA,NA,NA,NA
"V116_2",NA,NA,-0.107,NA,NA
"V116_3",NA,NA,NA,NA,NA
"V116_4",NA,NA,0.115,NA,-0.114
"V117_2",NA,NA,-0.105,NA,NA
"V117_3",NA,NA,NA,NA,NA
"V117_4",NA,NA,NA,NA,-0.116
"V118_2",NA,NA,-0.111,NA,NA
"V118_3",NA,NA,NA,NA,NA
"V118_4",NA,NA,NA,NA,NA
"V119_2",NA,NA,NA,NA,NA
"V119_3",NA,NA,NA,NA,NA
"V119_4",NA,NA,NA,NA,NA
"V120_2",NA,NA,NA,NA,NA
"V120_3",NA,NA,NA,NA,NA
"V120_4",NA,NA,NA,NA,NA
"V121_2",NA,NA,-0.101,NA,NA
"V121_3",NA,NA,NA,NA,NA
"V121_4",NA,NA,NA,NA,NA
"V122_2",NA,NA,NA,NA,NA
"V122_3",NA,NA,NA,NA,NA
"V122_4",NA,NA,NA,NA,NA
"V123_2",NA,NA,NA,NA,NA
"V123_3",NA,NA,NA,NA,NA
"V123_4",NA,NA,NA,NA,NA
"V124_2",NA,NA,NA,NA,NA
"V124_3",NA,NA,NA,NA,NA
"V124_4",NA,NA,NA,NA,NA
"V126_2",NA,NA,NA,NA,NA
"V126_3",NA,NA,NA,NA,NA
"V126_4",NA,NA,NA,NA,NA
"V127_2",NA,NA,NA,NA,NA
"V127_3",NA,NA,NA,NA,NA
"V127_4",NA,NA,NA,-0.124,NA
"V128_2",NA,NA,NA,NA,NA
"V128_3",NA,NA,NA,NA,NA
"V128_4",NA,NA,NA,NA,NA
"V129_2",NA,NA,NA,NA,NA
"V129_3",NA,NA,NA,NA,NA
"V129_4",0.104,NA,NA,NA,NA
"V130_2",NA,NA,NA,NA,-0.109
"V130_3",NA,NA,NA,NA,NA
"V130_4",NA,NA,NA,NA,NA
"V142_2",NA,NA,NA,NA,NA
"V142_3",NA,NA,NA,NA,-0.13
"V142_4",NA,NA,NA,NA,NA
"V217_2",NA,NA,NA,0.104,NA
"V217_3",NA,NA,NA,NA,NA
"V217_4",NA,NA,NA,NA,NA
"V217_5",NA,NA,NA,NA,NA
"V218_2",NA,NA,NA,NA,NA
"V218_3",NA,NA,NA,NA,NA
"V218_4",NA,NA,NA,NA,NA
"V218_5",-0.108,NA,NA,NA,NA
"V219_2",NA,NA,NA,NA,NA
"V219_3",NA,NA,NA,NA,NA
"V219_4",NA,NA,NA,NA,NA
"V219_5",NA,NA,NA,NA,NA
"V220_2",NA,NA,NA,NA,NA
"V220_3",NA,NA,NA,NA,NA
"V220_4",NA,NA,NA,NA,NA
"V220_5",NA,NA,NA,NA,NA
"V221_2",NA,NA,NA,NA,NA
"V221_3",NA,NA,NA,NA,NA
"V221_4",NA,NA,NA,NA,NA
"V221_5",NA,NA,NA,NA,NA
"V222_2",NA,NA,NA,NA,NA
"V222_3",NA,NA,NA,NA,NA
"V222_4",NA,NA,NA,NA,NA
"V222_5",-0.104,NA,NA,NA,NA
"V223_2",NA,NA,NA,NA,NA
"V223_3",NA,NA,NA,NA,NA
"V223_4",NA,NA,NA,NA,NA
"V223_5",-0.112,NA,NA,NA,NA
"V224_2",NA,NA,NA,NA,NA
"V224_3",NA,NA,NA,NA,NA
"V224_4",NA,NA,NA,NA,NA
"V224_5",NA,NA,NA,NA,NA
"V225_2",NA,NA,NA,NA,NA
"V225_3",0.136,NA,NA,NA,NA
"V225_4",NA,NA,NA,NA,NA
"V226_2",NA,NA,NA,NA,NA
"V226_3",NA,NA,NA,NA,NA
"V227_2",NA,NA,NA,NA,NA
"V227_3",NA,NA,NA,NA,NA
"V143_2",NA,NA,NA,NA,NA
"V143_3",NA,NA,NA,NA,NA
"V143_4",NA,NA,NA,NA,NA
"V145_2",NA,-0.101,NA,NA,NA
"V145_3",NA,NA,NA,NA,NA
"V145_4",NA,NA,NA,NA,NA
"V145_5",NA,NA,NA,NA,NA
"V145_6",NA,NA,NA,NA,NA
"V145_7",NA,NA,0.114,NA,NA
"V146_2",NA,NA,NA,NA,NA
"V146_3",NA,NA,NA,NA,NA
"V146_4",NA,NA,NA,NA,NA
"V146_5",NA,NA,NA,NA,NA
"V146_6",NA,NA,NA,NA,NA
"V146_7",NA,NA,NA,NA,NA
"V146_8",NA,0.108,NA,NA,NA
"V147_2",NA,NA,NA,NA,NA
"V147_3",NA,NA,NA,NA,NA
"V148_2",0.104,NA,NA,NA,NA
"V149_2",0.161,NA,NA,NA,NA
"V150_2",NA,NA,NA,0.153,NA
"V150_3",NA,NA,NA,NA,NA
"V150_4",NA,NA,NA,NA,NA
"V151_2",NA,NA,NA,0.162,NA
"V151_3",NA,NA,NA,NA,NA
"V151_4",NA,NA,NA,NA,NA
"V153_2",NA,NA,NA,NA,NA
"V153_3",NA,NA,NA,0.122,NA
"V153_4",NA,NA,NA,NA,NA
"V154_2",NA,NA,NA,NA,NA
"V154_3",NA,NA,NA,NA,NA
"V154_4",0.1,NA,NA,NA,NA
"V155_2",NA,NA,NA,NA,NA
"V155_3",NA,NA,NA,NA,NA
"V155_4",NA,NA,NA,NA,NA
"V156_2",NA,NA,NA,NA,NA
"V156_3",NA,NA,NA,NA,NA
"V156_4",NA,NA,NA,NA,NA
"V211_2",NA,NA,NA,NA,NA
"V211_3",NA,NA,NA,NA,NA
"V211_4",NA,NA,NA,NA,NA
"V211_5",NA,NA,NA,NA,NA
"V103_2",NA,NA,NA,NA,NA
"V103_3",NA,NA,NA,NA,NA
"V103_4",NA,NA,NA,NA,NA
"V104_2",NA,NA,NA,NA,NA
"V104_3",NA,NA,NA,NA,NA
"V104_4",NA,NA,NA,NA,NA
"V106_2",NA,NA,NA,NA,NA
"V106_3",NA,NA,NA,NA,NA
"V106_4",NA,NA,NA,NA,NA
"V107_2",NA,NA,NA,NA,NA
"V107_3",NA,NA,NA,NA,NA
"V107_4",NA,NA,NA,NA,NA
"V212_2",NA,NA,NA,NA,-0.143
"V212_3",NA,NA,NA,NA,NA
"V212_4",NA,NA,NA,NA,NA
"V213_2",NA,NA,NA,NA,-0.187
"V213_3",NA,NA,NA,NA,NA
"V213_4",NA,NA,NA,NA,NA
"V214_2",NA,NA,NA,NA,-0.2
"V214_3",NA,NA,NA,NA,NA
"V214_4",NA,NA,NA,NA,NA
"V216_2",NA,NA,NA,NA,-0.154
"V216_3",NA,NA,NA,NA,NA
"V216_4",NA,NA,NA,NA,0.11
"V243_2",NA,-0.112,NA,0.124,0.112
"V244_2",NA,-0.11,NA,0.127,0.113
"V245_2",NA,NA,NA,NA,NA
"V246_2",NA,NA,NA,NA,NA
"V170_2",NA,NA,NA,NA,NA
"V170_3",NA,NA,NA,NA,NA
"V170_4",NA,NA,NA,NA,NA
"V171_2",NA,NA,NA,NA,NA
"V171_3",NA,NA,NA,NA,NA
"V171_4",NA,0.139,NA,NA,NA
"V172_2",NA,NA,NA,NA,NA
"V172_3",NA,NA,NA,NA,NA
"V172_4",NA,0.119,0.102,NA,NA
"V173_2",NA,NA,NA,NA,NA
"V173_3",NA,NA,NA,NA,NA
"V173_4",NA,NA,NA,NA,NA
"V174_2",NA,NA,NA,NA,NA
"V174_3",NA,NA,NA,NA,NA
"V174_4",NA,NA,NA,NA,NA
"V175_2",NA,NA,NA,NA,NA
"V175_3",NA,NA,NA,NA,NA
"V175_4",NA,0.119,NA,NA,NA
"V176_5",NA,NA,NA,-0.116,NA
"V177_5",NA,NA,0.104,NA,NA
"V178_5",NA,NA,NA,NA,NA
"V179_5",NA,NA,NA,NA,NA
"V180_5",NA,NA,NA,NA,NA
"V181_2",NA,NA,NA,NA,NA
"V181_3",NA,NA,NA,NA,NA
"V181_4",NA,NA,NA,NA,NA
"V182_2",NA,NA,NA,NA,NA
"V182_3",NA,NA,NA,NA,NA
"V182_4",NA,NA,NA,NA,NA
"V183_2",NA,NA,NA,NA,NA
"V183_3",NA,NA,NA,NA,NA
"V183_4",NA,NA,NA,NA,NA
"V184_2",NA,NA,NA,NA,NA
"V184_3",NA,NA,NA,NA,NA
"V184_4",NA,NA,NA,NA,NA
"V185_2",NA,NA,NA,NA,NA
"V185_3",NA,NA,NA,NA,NA
"V185_4",0.111,NA,NA,NA,NA
"V186_2",NA,NA,NA,NA,NA
"V186_3",NA,NA,NA,NA,NA
"V186_4",NA,NA,NA,NA,NA
"V187_2",NA,NA,NA,0.166,NA
"V188_2",NA,NA,NA,NA,NA
"V188_3",NA,NA,NA,NA,NA
"V188_4",NA,NA,0.107,NA,NA
"V189_2",NA,NA,NA,NA,NA
"V189_3",NA,NA,NA,NA,NA
"V189_4",NA,0.146,NA,NA,NA
"V190_2",NA,NA,NA,NA,NA
"V190_3",NA,NA,NA,NA,NA
"V190_4",0.105,NA,NA,NA,NA
"V191_2",NA,NA,NA,NA,NA
"V191_3",NA,NA,NA,NA,NA
"V191_4",0.107,NA,0.119,-0.129,NA
"V23_Low",NA,NA,NA,NA,NA
"V23_Med",NA,NA,NA,NA,NA
"V23_High",NA,NA,NA,NA,NA
"V23_ Very High",NA,NA,NA,NA,NA
