"","V161","V162","V163"
"349",4,2,1
"350",3,3,3
"351",2,0,3
"352",2,0,3
"353",3,1,2
"354",0,0,2
"355",3,1,3
"356",3,0,2
"357",2,0,3
"358",2,2,3
"359",3,0,2
"360",3,4,1
"361",2,2,2
"362",-2,-2,-2
"363",4,4,4
"364",2,2,2
"365",3,3,3
"366",3,3,3
"367",2,2,2
"368",3,3,3
"369",-2,-2,-2
"370",3,3,1
"371",2,2,2
"372",2,2,0
"373",-2,-2,-2
"374",0,0,0
"375",-2,-2,-2
"376",-2,-2,-2
"377",-2,-2,-2
"378",-2,-2,-2
"379",-2,-2,-2
"380",-2,-2,-2
"381",3,0,3
"382",3,0,3
"383",1,0,3
"384",3,0,2
"385",2,0,3
"386",3,0,3
"387",2,0,3
"388",3,0,3
"389",3,0,3
"390",3,0,2
"391",1,4,4
"392",3,3,3
"393",2,2,2
"394",3,3,3
"395",2,2,2
"396",3,3,3
"397",3,3,3
"398",4,4,4
"399",3,3,3
"400",3,3,3
"401",3,0,4
"402",4,4,4
"403",4,1,3
"404",4,3,4
"405",4,4,3
"406",3,3,4
"407",4,4,4
"408",4,3,4
"409",1,2,4
"410",4,0,4
"411",4,4,4
"412",3,3,4
"413",4,0,4
"414",4,2,3
"415",2,2,4
"416",2,2,2
"417",3,3,4
"418",3,3,4
"419",1,1,1
"420",2,2,3
"421",-2,0,4
"422",4,4,4
"423",4,3,4
"424",3,1,3
"425",4,2,3
"426",1,1,2
"427",3,4,2
"428",0,1,3
"429",1,2,4
"430",4,3,3
"431",2,2,2
"432",4,4,4
"433",4,4,4
"434",2,2,2
"435",4,4,4
"436",3,3,3
"437",3,3,3
"438",2,2,2
"439",4,4,4
"440",3,3,3
"441",4,2,1
"442",3,2,4
"443",1,2,3
"444",3,2,4
"445",3,1,4
"446",2,2,4
"447",2,1,3
"448",1,1,1
"449",3,3,4
"450",4,4,4
"451",2,2,1
"452",1,2,3
"453",1,0,2
"454",1,1,3
"455",3,3,4
"456",3,2,4
"457",-2,-2,3
"458",2,1,2
"459",2,2,3
"460",2,2,1
"461",0,0,4
"462",0,0,4
"463",-2,-2,-2
"464",-2,-2,-2
"465",-2,-2,-2
"466",0,3,3
"467",0,4,4
"468",4,4,4
"469",-2,-2,4
"470",0,0,4
"471",3,4,4
"472",-2,-2,-2
"473",4,4,4
"474",4,4,4
"475",1,1,1
"476",0,3,3
"477",0,-2,-2
"478",0,0,0
"479",3,3,4
"480",-2,-2,4
"481",3,1,4
"482",3,3,3
"483",1,1,1
"484",3,2,3
"485",0,2,4
"486",1,3,3
"487",1,2,2
"488",3,2,2
"489",2,0,0
"490",2,2,2
"491",1,2,3
