"","PC1","PC2","PC3","PC4","PC5"
"V4",0.104,NA,NA,NA,NA
"V9",NA,0.242,NA,NA,-0.14
"V13",0.101,NA,NA,NA,NA
"V19",NA,-0.274,NA,NA,NA
"V21",NA,0.14,NA,NA,NA
"V25",NA,NA,-0.2,NA,NA
"V29",NA,NA,NA,-0.108,NA
"V35",NA,NA,NA,-0.131,0.121
"V42",NA,NA,NA,0.14,NA
"V38",NA,NA,-0.164,0.192,NA
"V36",NA,NA,NA,0.158,NA
"V40",NA,NA,0.125,-0.123,NA
"V43",NA,0.23,-0.214,NA,NA
"V165",NA,NA,-0.132,NA,0.163
"V166",NA,NA,0.152,NA,-0.162
"V167",NA,NA,0.135,NA,-0.167
"V168",NA,NA,0.135,NA,-0.152
"V169",NA,NA,0.133,NA,-0.159
"V82",0.1,NA,NA,NA,NA
"V45",NA,-0.122,0.142,-0.109,0.101
"V49",NA,0.157,NA,NA,-0.12
"V69",NA,NA,NA,NA,-0.108
"V85",NA,NA,NA,-0.247,NA
"V86",NA,NA,-0.158,-0.301,-0.196
"V87",NA,NA,0.139,0.281,0.205
"V88",NA,NA,-0.147,-0.302,-0.19
"V89",NA,NA,-0.155,-0.316,-0.123
"V108",NA,0.157,NA,NA,NA
"V226",NA,NA,NA,NA,-0.167
"V145",NA,0.124,NA,NA,NA
"V146",NA,0.143,NA,NA,NA
"V147",NA,0.134,NA,NA,NA
"V148",0.114,NA,-0.192,NA,NA
"V149",NA,NA,0.136,NA,NA
"V153",NA,0.2,NA,NA,-0.166
"V154",NA,-0.144,NA,NA,0.152
"V211",NA,0.116,NA,NA,NA
"V243",NA,-0.143,-0.244,0.171,NA
"V244",NA,0.143,0.245,-0.173,NA
"V245",0.107,-0.181,-0.24,0.165,NA
"V246",0.112,-0.105,-0.215,NA,-0.103
"V178",NA,NA,0.115,NA,NA
"V179",-0.103,NA,NA,NA,NA
"V183",NA,NA,NA,-0.147,NA
"V184",NA,NA,NA,-0.13,NA
"V185",NA,NA,NA,-0.146,NA
"V190",NA,-0.11,NA,NA,NA
"V191",NA,0.101,NA,NA,NA
"V157_Category",NA,NA,-0.137,NA,0.165
"V158_Category",NA,NA,-0.138,NA,0.171
"V159_Category",NA,NA,-0.144,NA,0.175
"V160_Category",NA,NA,-0.144,NA,0.175
"V164_Category",NA,NA,0.137,NA,-0.172
"V95_Category",NA,NA,-0.137,NA,-0.227
"V132_Category",NA,0.101,NA,NA,NA
"V141_Category",NA,NA,NA,NA,-0.104
"V201_Category",NA,NA,NA,-0.112,NA
"V203_Category",NA,-0.123,NA,NA,NA
"V204_Category",NA,-0.136,NA,NA,NA
"V205_Category",NA,-0.141,NA,NA,NA
"V161_Categorized",NA,NA,NA,NA,0.157
"V162_Categorized",NA,NA,NA,NA,-0.15
"V163_Categorized",NA,NA,-0.109,NA,0.183
