"","PC1","PC2","PC3","PC4","PC5"
"V153_1_Ref",-0.174,-0.243,-0.05,-0.063,0.094
"V153_4",0.108,0.054,0.063,-0.081,-0.044
"V106_2",0.069,-0.002,-0.009,0.031,0.126
"V106_3",-0.028,0.066,0.002,0.008,0.068
"V106_4",-0.097,-0.061,-0.028,-0.025,-0.153
"V107_2",0.077,0.012,0.005,-0.037,0.051
"V107_3",-0.028,0.056,0.013,0.003,0.102
"V107_4",-0.102,-0.055,-0.055,0.054,-0.1
"V212_2",0.053,0.042,-0.084,-0.004,0.09
"V213_2",0.064,-0.01,-0.099,-0.037,0.123
"V214_2",0.076,-0.003,-0.088,-0.058,0.14
"V243_1_Ref",0.025,-0.036,0.013,-0.02,0.041
"V244_1_Ref",0.027,-0.036,0.01,-0.016,0.041
"V179_1_Ref",0.004,-0.006,-0.052,0.063,-0.003
"V180_1_Ref",0.01,-0.02,-0.092,0.082,-0.022
"V181_1_Ref",-0.124,0.131,-0.121,0.163,0.034
"V181_4",0.051,-0.116,0.019,-0.055,-0.058
"V182_1_Ref",-0.132,0.086,-0.15,0.17,0.021
"V182_4",0.071,-0.098,0.018,-0.038,-0.041
"V183_1_Ref",-0.161,0.108,-0.134,0.094,0.006
"V183_2",-0.007,0.04,0.017,-0.029,0.004
"V183_3",0.077,-0.046,0.036,-0.058,0.029
"V183_4",0.087,-0.094,0.043,0.002,-0.041
"V184_1_Ref",-0.158,0.087,-0.141,0.118,0.028
"V184_2",-0.002,0.032,0.033,-0.039,-0.031
"V184_3",0.093,-0.049,0.036,-0.079,0.04
"V184_4",0.065,-0.068,0.033,0.006,-0.038
"V185_1_Ref",-0.155,0.059,-0.122,0.092,0.047
"V185_3",0.051,-0.003,0.062,-0.084,0.026
"V185_4",0.131,-0.113,0.038,-0.03,-0.012
"V188_3",-0.042,0.034,0.014,0.069,-0.021
"V188_4",0.094,-0.09,-0.021,-0.2,0.01
"V190_3",-0.048,0.021,0.035,0.057,-0.006
"V190_4",0.117,-0.05,-0.016,-0.189,0.005
"V99_Low",0.057,0.027,0.024,-0.021,0.066
"V100_Low",0.046,0.032,0.013,-0.006,0.05
"V200_Med",0,-0.001,0.012,0.019,0.033
"V202_Med",-0.001,0.007,0.018,0.019,0.034
"V203_Very Low_Ref",-0.219,0.008,0.156,-0.044,-0.001
"V203_ Very High",0.114,-0.039,-0.09,-0.003,-0.018
"V204_ Very High",0.061,-0.022,-0.034,-0.018,-0.014
"V205_ Very High",0.1,-0.004,-0.103,-0.019,-0.1
"V206_ Very High",0.154,0.009,-0.126,-0.043,-0.123
"V231_Med",0.025,0.045,0.027,0.031,0.065
"V232_Med",0.029,0.03,0.043,0.02,0.078
"V232_High",0.043,-0.003,0.027,0.033,0.065
"V233_High",0.058,0.023,0.023,0.057,0.103
