Country,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0
Cameroon,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Million Kw,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0,0,0,0,0.677,1.423,1.84,2.336,3.282,3.967,5.265,6.201,7.801,9.694,11.214
Cape Verde,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0255,0.0255,0.0255,0.0255,0.0255
Cayman Islands,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),0.002,0.002,0.02,0.02,0.163,0.163,0.184,0.202,0.301,0.731,0.908
China,Million Kw,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),0,0,0,0,0,0,0,0,1.06,2.07,4.2,8.39,17.6,29.58,46.23,61.42,76.52,96,129
Colombia,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),0.01,0.018,0.018,0.0195,0.0195,0.0195,0.0195,0.0195,0.0195,0.02,0.02
Comoros,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05,0,0,0,0
Costa Rica,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),(s),0.07,0.07,0.07,0.07,0.12,0.12,0.132,0.148,0.148,0.198,0.268
Cote dIvoire (IvoryCoast),Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,(s),0.006,0.017,0.017,0.017,0.027,0.089,0.131,0.18,0.254,0.34,0.428
Cuba,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),0.0005,0.0005,0.002,0.0072,0.0072,0.0117,0.0117,0.0117,0.0117,0.012,0.012
Cyprus,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.134,0.147,0.147,0.147,0.158
Czech Republic,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),0.022,0.044,0.114,0.15,0.193,0.213,0.213,0.258,0.262,0.278,0.281
Denmark,Million Kw,0,(s),(s),(s),(s),(s),(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.127,3.135,3.124,3.163,3.482,3.802,3.9521,4.164,4.82,4.886,5.075
Djibouti,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
Dominican Republic,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0336,0.0336,0.085,0.085,0.085
Ecuador,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.004,0.003,0.0025,0.0025,0.0025,0.019,0.02,0.02
