"","","","R_squared","P_Values"
"85","V31_1_Ref","V32_0","-0.746753246753247","4.37638090587054e-16"
"86","V31_1_Ref","V32_1_Ref","0.803896103896104","2.14094687773208e-18"
"87","V31_1_Ref","V33_1_Ref","0.708252261274512","1.31874021355872e-14"
"88","V31_1_Ref","V34_1_Ref","0.72774544277748","2.45205534826842e-15"
"89","V32_0","V30_0","0.766233766233766","7.44847795506337e-17"
"90","V32_0","V30_1_Ref","-0.732943624511605","1.5539854835651e-15"
"91","V32_0","V31_0","0.816883116883117","6.05837650168316e-19"
"92","V32_0","V31_1_Ref","-0.746753246753247","4.37638090587054e-16"
"93","V32_0","V33_0","0.715584415584416","6.7850437526519e-15"
"94","V32_1_Ref","V26_1_Ref","0.745454545454545","4.91700095374599e-16"
"95","V32_1_Ref","V27_1_Ref","0.703896103896104","1.84192460123084e-14"
"96","V32_1_Ref","V30_0","-0.724675324675325","3.08623893674702e-15"
"97","V32_1_Ref","V30_1_Ref","0.808317259656415","1.46329874260052e-18"
"98","V32_1_Ref","V31_0","-0.731168831168831","1.74779742259369e-15"
"99","V32_1_Ref","V31_1_Ref","0.803896103896104","2.14094687773208e-18"
"100","V32_1_Ref","V33_1_Ref","0.72774544277748","2.45205534826842e-15"
"101","V32_1_Ref","V34_1_Ref","0.725146351910418","3.07651352082237e-15"
"102","V33_0","V27_1_Ref","-0.71038961038961","1.05967140217932e-14"
"103","V33_0","V30_0","0.793506493506493","5.79473642183741e-18"
"104","V33_0","V30_1_Ref","-0.748538169713979","3.88137081979634e-16"
"105","V33_0","V31_0","0.714285714285714","7.58726899686929e-15"
"106","V33_0","V32_0","0.715584415584416","6.7850437526519e-15"
"107","V33_0","V34_0","0.725974025974026","2.75557899224568e-15"
"108","V33_1_Ref","V27_1_Ref","0.703054079540387","2.04996281445022e-14"
"109","V33_1_Ref","V30_1_Ref","0.784135240572172","1.53739101065053e-17"
"110","V33_1_Ref","V31_1_Ref","0.708252261274512","1.31874021355872e-14"
"111","V33_1_Ref","V32_1_Ref","0.72774544277748","2.45205534826842e-15"
"112","V33_1_Ref","V34_1_Ref","0.734720416124837","1.38136692672316e-15"
"113","V34_0","V26_1_Ref","-0.714285714285714","7.58726899686929e-15"
"114","V34_0","V30_0","0.797402597402597","3.99499326554112e-18"
"115","V34_0","V30_1_Ref","-0.714749988442168","7.56402932828039e-15"
"116","V34_0","V31_0","0.728571428571429","2.19544720312687e-15"
"117","V34_0","V33_0","0.725974025974026","2.75557899224568e-15"
"118","V34_1_Ref","V26_1_Ref","0.768031351216948","6.58533276671068e-17"
"119","V34_1_Ref","V27_1_Ref","0.751137260581042","3.07168680803662e-16"
"120","V34_1_Ref","V30_0","-0.726445897343949","2.74686492029201e-15"
"121","V34_1_Ref","V30_1_Ref","0.788686605981795","1.00146232731759e-17"
"122","V34_1_Ref","V31_1_Ref","0.72774544277748","2.45205534826842e-15"
"123","V34_1_Ref","V32_1_Ref","0.725146351910418","3.07651352082237e-15"
"124","V34_1_Ref","V33_1_Ref","0.734720416124837","1.38136692672316e-15"
"125","V37_1_Ref","V41_1_Ref","0.779220779220779","2.23186192723212e-17"
"126","V37_1_Ref","V44_1_Ref","0.741149763025528","7.36815475501235e-16"
"127","V40_1_Ref","V203_Very Low_Ref","0.728571428571429","2.19544720312687e-15"
"128","V40_1_Ref","V203_ Very High","-0.711269930335629","1.00088345635059e-14"
"129","V41_1_Ref","V37_1_Ref","0.779220779220779","2.23186192723212e-17"
"130","V41_1_Ref","V43_1_Ref","0.701298701298701","2.29463749000344e-14"
"131","V43_1_Ref","V41_1_Ref","0.701298701298701","2.29463749000344e-14"
"132","V44_1_Ref","V37_1_Ref","0.741149763025528","7.36815475501235e-16"
"133","V75_1_Ref","V76_1_Ref","0.700876945052186","2.42035993695812e-14"
"134","V76_1_Ref","V75_1_Ref","0.700876945052186","2.42035993695812e-14"
"135","V45_1_Ref","V51_1_Ref","0.709090909090909","1.18402867680148e-14"
"136","V45_1_Ref","V53_1_Ref","0.727272727272727","2.45986166077624e-15"
"137","V49_1_Ref","V9_1_Ref","0.702597402597403","2.05605949613607e-14"
