"","PC1","PC2","PC3","PC4","PC5"
"V154_3",0.056,0.116,-0.025,-0.067,0.026
"V162_High",-0.045,0.002,-0.046,0.081,-0.044
"V166_4",0.003,0.019,-0.087,0.055,-0.135
"V169_3",0.079,-0.022,-0.041,0.053,0.02
"V170_1_Ref",-0.034,-0.008,0.076,0.139,-0.085
"V171_4",0.008,-0.114,-0.071,0.154,-0.032
"V172_4",-0.023,-0.146,0.054,0.119,-0.067
"V175_4",0.001,-0.132,0.035,0.107,-0.105
"V176_1_Ref",0.041,0.051,-0.157,-0.099,0.107
"V176_5",-0.045,-0.039,0.149,0.101,-0.107
"V177_1_Ref",-0.019,0.042,-0.132,-0.084,0.092
"V177_5",0.013,-0.033,0.128,0.088,-0.092
"V181_1_Ref",-0.09,0.067,-0.04,-0.147,-0.078
"V182_1_Ref",-0.099,0.089,-0.01,-0.128,-0.075
"V183_1_Ref",-0.116,0.03,-0.027,-0.11,-0.138
"V184_1_Ref",-0.115,0.046,-0.01,-0.121,-0.117
"V185_1_Ref",-0.114,0.026,0.009,-0.099,-0.101
"V185_4",0.094,0.01,0.071,0.125,0.03
"V186_1_Ref",-0.053,0.058,0.02,-0.088,-0.06
"V187_1_Ref",-0.02,-0.039,0.098,0.061,0.071
"V187_2",0.014,0.075,-0.095,-0.034,-0.071
"V188_4",0.074,-0.06,0.052,0.111,-0.011
"V189_4",0.04,-0.131,-0.061,0.159,-0.047
"V19_1_Ref",-0.148,0.057,0.175,0.028,0.007
"V19_2",0.148,-0.057,-0.175,-0.028,-0.007
"V190_4",0.092,-0.052,0.023,0.111,-0.033
"V191_4",0.091,-0.036,0.15,0.109,-0.037
"V198_Very Low_Ref",-0.007,0.035,0.002,0.145,-0.073
"V199_Very Low_Ref",-0.017,-0.019,0.028,0.061,-0.063
"V201_Very Low_Ref",-0.007,0.023,-0.029,0.003,-0.043
"V203_ Very High",0.085,0.033,0.061,0.053,-0.055
"V203_Very Low_Ref",-0.169,-0.061,-0.077,0.042,0.025
"V204_Very Low_Ref",-0.14,0.063,0.014,-0.037,0.005
"V205_Very Low_Ref",-0.125,0.004,-0.01,-0.01,0.056
"V206_ Very High",0.117,0.061,0.015,0.067,-0.101
"V206_Very Low_Ref",-0.127,-0.01,-0.15,0.101,0.138
"V207_Very Low_Ref",-0.103,-0.009,0.096,-0.157,-0.289
"V208_Very Low_Ref",0.052,0.014,-0.038,0.086,-0.088
"V209_Very Low_Ref",0.07,-0.015,-0.09,0.101,-0.115
"V21_1_Ref",-0.07,0.123,0.084,-0.029,-0.016
"V21_2",0.07,-0.123,-0.083,0.029,0.016
"V211_1_Ref",-0.106,0.093,0.057,0.056,-0.058
"V211_2",0.067,-0.058,-0.028,-0.023,0.033
"V212_1_Ref",-0.054,0.1,-0.032,-0.002,0.015
"V213_1_Ref",-0.083,0.057,0.052,0.046,-0.044
"V213_2",0.05,-0.015,0.069,-0.071,0.01
"V214_1_Ref",-0.087,0.029,-0.089,0.077,-0.049
"V214_2",0.061,-0.018,0.063,-0.087,0.03
"V216_1_Ref",-0.046,0.03,0.022,0.046,-0.086
"V216_2",0.029,-0.011,0.044,-0.029,-0.045
"V217_1_Ref",0.072,0.021,0.029,0.086,0.073
"V217_5",-0.076,-0.042,0.056,0.005,-0.171
"V218_5",-0.092,-0.012,0.065,0.015,-0.167
"V219_1_Ref",0.002,0.023,-0.116,0.135,-0.15
"V220_1_Ref",0.026,0.14,0.031,0.081,-0.025
"V220_5",-0.041,-0.078,-0.047,0.012,-0.131
"V221_1_Ref",-0.019,0.058,0.012,0.081,0.034
"V221_5",-0.002,-0.014,-0.08,0.06,-0.183
"V222_5",-0.084,0.02,-0.097,0.037,-0.145
"V223_1_Ref",0.073,-0.005,0.025,0.132,-0.036
"V223_5",-0.092,0.039,-0.081,0.002,-0.102
"V224_1_Ref",-0.027,0.066,-0.03,0.129,-0.05
"V225_1_Ref",-0.082,0.026,-0.067,-0.035,0.004
"V225_3",0.116,-0.013,0.048,0.089,-0.023
"V226_1_Ref",0.037,0.089,-0.05,0.089,-0.126
"V227_1_Ref",0.054,0.103,-0.01,0.128,-0.095
"V24_1_Ref",0.077,-0.088,0.013,0.024,0.029
"V24_2",-0.078,0.104,-0.018,-0.017,-0.023
"V243_2",-0.056,0.165,-0.107,0.228,0.021
"V244_2",-0.057,0.164,-0.109,0.225,0.022
"V245_1_Ref",-0.09,0.196,-0.121,0.262,-0.005
"V246_1_Ref",-0.061,0.147,-0.142,0.244,-0.084
"V25_0",-0.013,-0.262,-0.09,0.063,-0.122
"V25_2",-0.015,0.182,0.048,-0.055,0.099
"V26_0",-0.048,-0.078,-0.062,0.008,-0.078
"V35_0",-0.071,-0.032,-0.039,-0.067,-0.067
"V36_1_Ref",-0.023,-0.021,-0.053,0.1,0.023
"V38_1_Ref",-0.101,-0.206,-0.14,0.101,0.034
"V38_2",0.085,0.245,0.137,-0.008,-0.031
"V39_1_Ref",-0.04,-0.088,-0.027,0.03,0.061
"V39_2",0.04,0.088,0.027,-0.03,-0.061
"V40_1_Ref",-0.151,-0.086,-0.115,0.055,0.059
"V40_2",0.135,0.126,0.112,0.038,-0.056
"V41_1_Ref",-0.073,-0.096,0.015,0.012,-0.041
"V41_2",0.073,0.096,-0.015,-0.012,0.041
"V42_1_Ref",-0.037,-0.077,-0.068,0.138,0.017
"V43_1_Ref",-0.135,-0.165,0.09,0.07,0.047
"V43_2",0.135,0.165,-0.09,-0.07,-0.047
"V45_1_Ref",-0.134,-0.114,0.014,0.026,0.018
"V45_3",0.113,0.147,0.028,0.022,-0.078
"V46_1_Ref",-0.027,0.063,-0.197,-0.032,0.03
"V47_3",0.074,0.038,0.009,0.059,-0.074
"V49_1_Ref",-0.157,0.026,0.05,0.063,0.035
"V50_3",0.06,0.044,-0.075,-0.019,0.031
"V51_1_Ref",-0.099,-0.07,0.045,0.061,0.02
"V62_1_Ref",-0.068,-0.044,-0.004,0.02,-0.022
"V66_1_Ref",-0.062,-0.011,-0.029,0.101,-0.006
"V67_3",-0.064,0.002,-0.016,-0.046,-0.103
"V69_1_Ref",-0.06,0.099,0.05,0.042,-0.081
"V79_1_Ref",-0.086,-0.005,0.011,0.067,-0.075
"V8_1_Ref",-0.094,0.072,0.013,-0.043,-0.032
"V85_1_Ref",0.096,0.048,0.084,0.073,-0.029
"V85_3",-0.129,-0.044,-0.125,-0.081,-0.06
"V86_3",-0.082,0.04,-0.129,-0.101,-0.136
"V87_2",0.055,0.069,0.079,-0.012,-0.022
"V87_3",-0.076,-0.031,-0.112,-0.082,-0.081
"V88_3",-0.074,-0.015,-0.134,-0.098,-0.109
"V89_2",0.04,0.028,0.089,0.004,-0.015
"V89_3",-0.1,-0.009,-0.145,-0.069,-0.161
"V9_1_Ref",-0.198,0.057,0.174,0.055,0.016
"V95_Med",0.023,0.049,-0.086,-0.047,-0.006
