"","PC1","PC2","PC3","PC4","PC5"
"V10_1_Ref",-0.021,0.113,-0.005,0.005,0.035
"V100_Very Low_Ref",-0.065,0.014,0.077,0.006,0.009
"V102_1_Ref",-0.036,-0.047,-0.033,-0.009,-0.027
"V106_2",0.045,0.061,-0.005,0.061,0.077
"V106_4",-0.071,-0.037,0.026,-0.017,-0.087
"V107_2",0.054,0.022,-0.031,0.084,0.022
"V107_4",-0.078,0.014,0.037,-0.043,-0.048
"V108_1_Ref",-0.117,0.081,0.009,0.019,0.075
"V109_1_Ref",-0.057,-0.038,-0.038,0.092,0.033
"V116_4",-0.034,0.033,0.057,0.002,-0.126
"V12_1_Ref",0.051,-0.047,-0.013,0.027,0.064
"V12_2",-0.051,0.047,0.013,-0.027,-0.064
"V127_4",0.008,0.04,0.113,0.077,0.037
"V129_4",0.088,0.001,0.012,0.095,-0.041
"V13_1_Ref",-0.055,-0.047,-0.164,0.007,0.128
"V13_2",0.055,0.047,0.164,-0.007,-0.128
"V130_1_Ref",-0.029,0.034,0.092,0.095,-0.001
"V132_Very Low_Ref",0.093,0.002,-0.014,0.069,-0.062
"V135_Very Low_Ref",0.079,0.022,0.028,0.055,-0.059
"V142_2",0.041,-0.041,-0.001,-0.001,0.054
"V143_1_Ref",-0.07,0.061,-0.012,0.059,-0.025
"V145_1_Ref",-0.064,0.035,0.109,-0.021,0.024
"V145_7",0.077,-0.112,0.005,0.026,-0.1
"V146_1_Ref",-0.143,0.013,0.19,0.04,0.104
"V146_8",0.084,-0.109,-0.031,0.037,-0.055
"V147_1_Ref",-0.115,0.141,0.046,0.043,-0.018
"V147_2",0.068,-0.085,-0.052,0.001,-0.007
"V148_1_Ref",-0.071,0.198,-0.147,0.071,0.165
"V148_2",0.094,-0.076,-0.018,-0.011,0.004
"V149_1_Ref",-0.124,0.093,-0.081,0.107,0.288
"V149_2",0.145,0.027,-0.068,-0.037,-0.102
"V150_1_Ref",-0.066,-0.059,0.071,0.053,0.102
"V150_2",0.048,0.112,-0.077,0.002,-0.095
"V151_1_Ref",-0.079,-0.009,0.081,0.037,0.122
"V151_2",0.051,0.081,-0.093,0.015,-0.13
"V153_1_Ref",-0.135,-0.05,0.184,0.036,-0.002
"V153_3",0.081,0.027,-0.107,-0.031,-0.016
"V153_4",0.086,-0.027,-0.043,0.057,-0.027
"V154_1_Ref",-0.13,-0.109,0.099,0.1,-0.032
