"","V2","V258","V45","V46"
"232",12,1,2,-4
"233",12,1,2,-4
"234",12,1,3,-4
"235",12,1,3,-4
"236",12,1,2,-4
"237",12,1,2,-4
"238",12,1,2,-4
"239",12,1,2,-4
"240",12,1,2,-4
"241",12,1,2,-4
"242",12,1,2,-4
"243",12,1,2,-4
"244",12,1,2,-4
"245",12,1,2,-4
"246",12,1,2,-4
"247",12,1,3,-4
"248",12,1,2,-4
"249",12,1,2,-4
"250",12,1,1,-4
"251",12,1,2,-4
"252",12,1,2,-4
"253",12,1,3,-4
"254",12,1,2,-4
"255",12,1,2,-4
"256",12,1,2,-4
"257",12,1,2,-4
"258",12,1,2,-4
"259",12,1,2,-4
"260",12,1,2,-4
"261",12,1,1,-4
"262",12,1,2,-4
"263",12,1,2,-4
"264",12,1,3,-4
"265",12,1,1,-4
"266",12,1,-2,-4
"267",12,1,1,-4
"268",12,1,1,-4
"269",12,1,1,-4
"270",12,1,1,-4
"271",12,1,1,-4
"272",12,1,1,-4
"273",12,1,3,-4
"274",12,1,2,-4
"275",12,1,2,-4
"276",12,1,1,-4
"277",12,1,1,-4
"278",12,1,1,-4
"279",12,1,1,-4
"280",12,1,1,-4
"281",12,1,3,-4
"282",12,1,1,-4
"283",12,1,1,-4
"284",12,1,3,-4
"285",12,1,1,-4
"286",12,1,1,-4
"287",12,1,1,-4
"288",12,1,1,-4
"289",12,1,1,-4
"290",12,1,1,-4
"291",12,1,3,-4
"292",12,1,1,-4
"293",12,1,1,-4
"294",12,1,1,-4
"295",12,1,1,-4
"296",12,1,3,-4
"297",12,1,1,-4
"298",12,1,1,-4
"299",12,1,1,-4
"300",12,1,1,-4
"301",12,1,1,-4
"302",12,1,3,-4
"303",12,1,1,-4
"304",12,1,1,-4
"305",12,1,1,-4
"306",12,1,2,-4
"307",12,1,1,-4
"308",12,1,3,-4
"309",12,1,1,-4
"310",12,1,1,-4
"311",12,1,1,-4
"312",12,1,1,-4
"313",12,1,1,-4
"314",12,1,1,-4
"315",12,1,1,-4
"316",12,1,1,-4
"317",12,1,2,-4
"318",12,1,2,-4
"319",12,1,1,-4
"320",12,1,1,-4
"321",12,1,1,-4
"322",12,1,3,-4
"323",12,1,1,-4
"324",12,1,1,-4
"325",12,1,1,-4
"326",12,1,3,-4
"327",12,1,1,-4
"328",12,1,1,-4
"329",12,1,1,-4
"330",12,1,1,-4
"331",12,1,1,-4
"332",12,1,1,-4
"333",12,1,1,-4
"334",12,1,3,-4
"335",12,1,1,-4
"336",12,1,3,-4
"337",12,1,1,-4
"338",12,1,1,-4
"339",12,1,1,-4
"340",12,1,1,-4
"341",12,1,3,-4
"342",12,1,2,-4
"343",12,1,1,-4
"344",12,1,3,-4
"345",12,1,1,-4
"346",12,1,1,-4
"347",12,1,1,-4
"348",12,1,1,-4
"349",12,1,1,-4
"350",12,1,2,-4
"351",12,1,3,-4
"352",12,1,1,-4
"353",12,1,2,-4
"354",12,1,1,-4
"355",12,1,1,-4
"356",12,1,1,-4
"357",12,1,3,-4
"358",12,1,1,-4
"359",12,1,1,-4
"360",12,1,3,-4
"361",12,1,1,-4
"362",12,1,1,-4
"363",12,1,2,-4
"364",12,1,2,-4
"365",12,1,1,-4
"366",12,1,1,-4
"367",12,1,1,-4
"368",12,1,3,-4
"369",12,1,1,-4
"370",12,1,1,-4
"371",12,1,3,-4
"372",12,1,3,-4
"373",12,1,1,-4
"374",12,1,1,-4
"375",12,1,1,-4
"376",12,1,1,-4
"377",12,1,1,-4
"378",12,1,1,-4
"379",12,1,1,-4
"380",12,1,1,-4
"381",12,1,3,-4
"382",12,1,1,-4
"383",12,1,1,-4
"384",12,1,3,-4
"385",12,1,1,-4
"386",12,1,1,-4
"387",12,1,1,-4
"388",12,1,2,-4
"389",12,1,2,-4
"390",12,1,1,-4
"391",12,1,1,-4
"392",12,1,1,-4
"393",12,1,1,-4
"394",12,1,1,-4
"395",12,1,1,-4
"396",12,1,1,-4
"397",12,1,1,-4
"398",12,1,1,-4
"399",12,1,1,-4
"400",12,1,1,-4
"401",12,1,1,-4
"402",12,1,3,-4
"403",12,1,3,-4
"404",12,1,2,-4
"405",12,1,1,-4
"406",12,1,1,-4
"407",12,1,1,-4
"408",12,1,1,-4
"409",12,1,1,-4
"410",12,1,1,-4
"411",12,1,1,-4
"412",12,1,1,-4
"413",12,1,3,-4
"414",12,1,1,-4
"415",12,1,2,-4
"416",12,1,2,-4
"417",12,1,3,-4
"418",12,1,1,-4
"419",12,1,3,-4
"420",12,1,1,-4
"421",12,1,3,-4
"422",12,1,1,-4
"423",12,1,1,-4
"424",12,1,1,-4
"425",12,1,3,-4
"426",12,1,2,-4
"427",12,1,1,-4
"428",12,1,1,-4
"429",12,1,1,-4
"430",12,1,2,-4
"431",12,1,2,-4
"432",12,1,1,-4
"433",12,1,1,-4
"434",12,1,1,-4
"435",12,1,3,-4
"436",12,1,3,-4
"437",12,1,1,-4
"438",12,1,1,-4
"439",12,1,1,-4
"440",12,1,1,-4
"441",12,1,1,-4
"442",12,1,1,-4
"443",12,1,2,-4
"444",12,1,2,-4
"445",12,1,1,-4
"446",12,1,2,-4
"447",12,1,2,-4
"448",12,1,1,-4
"449",12,1,2,-4
"450",12,1,1,-4
"451",12,1,1,-4
"452",12,1,1,-4
"453",12,1,1,-4
"454",12,1,1,-4
"455",12,1,3,-4
"456",12,1,2,-4
"457",12,1,1,-4
"458",12,1,2,-4
"459",12,1,1,-4
"460",12,1,1,-4
"461",12,1,2,-4
"462",12,1,2,-4
"463",12,1,1,-4
"464",12,1,3,-4
"465",12,1,1,-4
"466",12,1,3,-4
"467",12,1,2,-4
"468",12,1,1,-4
"469",12,1,2,-4
"470",12,1,3,-4
"471",12,1,3,-4
"472",12,1,2,-4
"473",12,1,2,-4
"474",12,1,2,-4
"475",12,1,2,-4
"476",12,1,2,-4
"477",12,1,1,-4
"478",12,1,1,-4
"479",12,1,-2,-4
"480",12,1,2,-4
"481",12,1,2,-4
"482",12,1,2,-4
"483",12,1,1,-4
"484",12,1,1,-4
"485",12,1,1,-4
"486",12,1,1,-4
"487",12,1,2,-4
"488",12,1,1,-4
"489",12,1,1,-4
"490",12,1,1,-4
"491",12,1,1,-4
"492",12,1,2,-4
"493",12,1,2,-4
"494",12,1,1,-4
"495",12,1,1,-4
"496",12,1,3,-4
"497",12,1,1,-4
"498",12,1,1,-4
"499",12,1,2,-4
"500",12,1,1,-4
"501",12,1,1,-4
"502",12,1,3,-4
"503",12,1,1,-4
"504",12,1,3,-4
"505",12,1,1,-4
"506",12,1,1,-4
"507",12,1,1,-4
"508",12,1,1,-4
"509",12,1,2,-4
"510",12,1,-2,-4
"511",12,1,3,-4
"512",12,1,1,-4
"513",12,1,1,-4
"514",12,1,2,-4
"515",12,1,2,-4
"516",12,1,1,-4
"517",12,1,3,-4
"518",12,1,1,-4
"519",12,1,3,-4
"520",12,1,1,-4
"521",12,1,1,-4
"522",12,1,1,-4
