"","PC1","PC2","PC3","PC4","PC5"
"V74_4",0.029,0.033,-0.027,0.009,-0.018
"V74_5",0.01,0.021,-0.016,-0.014,-0.016
"V74_6",-0.002,0.003,-0.002,-0.001,-0.003
"V165_2",0.061,-0.02,-0.001,0.006,-0.094
"V165_3",0.012,0.049,-0.023,0.024,0.036
"V165_4",-0.043,0.016,0.037,-0.013,0.08
"V166_2",-0.01,0.004,-0.114,-0.085,-0.035
"V166_3",0.066,-0.02,-0.001,0.035,-0.009
"V166_4",-0.007,-0.006,0.112,0.164,0.066
"V167_2",-0.003,-0.015,-0.033,0.005,-0.024
"V167_3",0.048,0.012,-0.05,0.022,-0.084
"V167_4",-0.028,-0.001,0.1,0.024,0.109
"V168_2",-0.065,0.024,-0.07,0.015,-0.023
"V168_3",0.088,-0.016,0.016,0.058,-0.027
"V168_4",0.038,-0.029,0.047,0.009,0.05
"V169_2",-0.049,-0.033,-0.029,0.015,-0.064
"V169_3",0.093,0.043,-0.01,0.037,0.024
"V169_4",0.016,0.004,0.034,0.033,0.078
"V81_2",-0.015,0.02,-0.003,-0.027,-0.018
"V81_3",0.002,0.007,-0.02,-0.008,0.002
"V82_2",-0.048,0.01,0.023,0.055,-0.014
"V83_2",0.005,0.035,0.013,0.018,0.004
"V45_2",0.019,0.043,-0.07,0.005,-0.035
"V45_3",0.131,-0.139,0.069,0.071,0.036
"V46_2",0.028,0.008,-0.041,0.01,0.035
"V46_3",0.062,-0.04,0.031,-0.014,0.098
"V102_2",0.022,-0.019,-0.025,-0.011,-0.026
"V102_3",-0.001,-0.013,-0.005,0,-0.005
"V102_4",-0.002,-0.003,-0.001,0,-0.002
"V49_2",0.086,0.003,-0.011,0.064,-0.078
"V49_3",0.062,0.019,0.01,0,-0.001
"V49_4",0.009,0.003,0.005,0.008,0.004
"V54_2",0.023,0.038,-0.032,0.003,-0.067
"V54_3",0.016,-0.053,-0.019,-0.022,-0.027
"V54_4",-0.007,-0.04,-0.007,-0.001,-0.002
"V51_2",-0.04,0.059,-0.07,0.016,-0.009
"V51_3",0.087,-0.047,-0.018,0.045,-0.047
"V51_4",0.057,-0.068,0.047,0.025,0.007
"V52_2",-0.03,0.021,-0.051,-0.014,-0.01
"V52_3",0.036,-0.007,-0.022,0.054,-0.065
"V52_4",0.034,-0.039,0.075,0.002,0.053
"V50_2",-0.037,0.018,0.006,-0.027,-0.049
"V50_3",0.075,0.005,-0.065,0.07,0.034
"V50_4",0.017,-0.012,-0.014,0.019,0.073
"V48_2",-0.005,0.053,-0.049,-0.008,-0.008
"V48_3",-0.021,-0.015,0.022,-0.044,0.048
"V47_2",-0.007,0.052,-0.08,0.001,-0.036
"V47_3",0.087,-0.034,0.063,0.039,0
"V53_2",-0.048,0.061,-0.051,0.002,-0.013
"V53_3",0.073,-0.046,-0.02,0.045,-0.053
"V53_4",0.058,-0.067,0.04,0.016,0.014
"V60_2",-0.048,0.018,-0.006,-0.06,-0.02
"V60_3",0.048,-0.031,-0.004,0.025,-0.02
"V60_4",0,0.005,-0.01,-0.007,-0.029
"V61_2",-0.048,0.044,0.009,-0.042,0.001
"V61_3",0.033,-0.053,-0.04,0.051,0.013
"V61_4",-0.003,0.011,-0.009,0.01,0.017
"V62_2",0.025,-0.041,-0.021,0.021,-0.024
"V62_3",0.007,0.018,0.006,0.039,-0.021
"V62_4",0.028,-0.03,0.025,-0.016,-0.01
"V63_2",0.014,-0.005,-0.021,0.004,0.01
"V63_3",-0.04,0.023,-0.007,0.012,0.022
"V63_4",0.009,-0.039,0.013,-0.005,-0.029
"V64_2",0.012,-0.003,-0.012,-0.049,-0.021
"V64_3",-0.002,-0.002,-0.002,0.002,0
"V64_4",-0.023,-0.05,0.04,0.002,-0.001
"V65_2",0.013,0.041,-0.008,-0.024,-0.02
"V65_3",-0.008,-0.012,-0.031,0.005,0.006
"V65_4",-0.012,-0.011,0.015,0.037,0.01
"V66_2",0.045,-0.051,-0.007,-0.014,-0.051
"V67_2",0.036,0.017,-0.047,-0.024,0.003
"V67_3",-0.072,0.001,0.033,0.019,0.005
"V68_2",0.041,0.007,-0.05,-0.021,0.025
"V68_3",0.01,-0.012,0,0,-0.007
"V69_2",0.021,0.056,-0.044,0.037,-0.026
"V69_3",0.041,0.057,-0.039,-0.044,-0.067
"V80_2",-0.003,-0.022,-0.02,-0.011,0.004
"V80_3",-0.006,0.009,-0.022,-0.01,0.044
"V80_4",-0.006,-0.025,0.009,-0.015,-0.012
"V80_5",0.027,0.043,-0.025,0.029,-0.035
"V84_2",0.014,0.038,-0.022,-0.068,0.011
"V84_3",0.01,0.028,-0.018,0.064,-0.01
"V84_4",-0.025,-0.057,0.057,0.048,-0.027
"V85_2",0.034,-0.061,-0.01,-0.027,-0.094
"V85_3",-0.147,0.044,-0.048,0.101,-0.142
"V86_2",0.068,-0.023,0.004,-0.107,-0.04
"V86_3",-0.095,-0.032,-0.017,0.158,-0.182
"V87_2",0.068,-0.078,0.003,-0.052,-0.062
"V87_3",-0.087,0.035,-0.035,0.089,-0.147
"V88_2",0.062,-0.063,0.024,-0.07,-0.031
"V88_3",-0.083,0.025,-0.041,0.123,-0.189
"V89_2",0.049,-0.041,-0.01,-0.086,-0.02
"V89_3",-0.113,0.027,-0.072,0.127,-0.131
"V108_2",0.016,0.016,-0.042,0.054,0.023
"V108_3",0.063,0.017,0.036,-0.023,-0.041
"V108_4",0.037,0.022,0.048,0.004,-0.048
"V109_2",0.041,0.045,-0.061,0.013,0.002
"V109_3",0.021,-0.054,0.003,-0.001,-0.069
"V109_4",-0.005,-0.04,0.026,0.021,-0.044
"V110_2",0.018,0.043,-0.099,0.03,-0.005
"V110_3",0.038,-0.022,0.04,-0.007,-0.03
"V110_4",-0.023,-0.034,0.07,0.022,-0.03
"V111_2",0.018,0.056,-0.091,0.03,0
"V111_3",0.039,-0.029,0.066,-0.013,-0.046
"V111_4",-0.022,-0.037,0.06,0.022,-0.035
"V112_2",0.031,0.039,-0.112,0.004,0.036
"V112_3",0.031,-0.026,-0.011,0.001,-0.036
"V112_4",-0.02,-0.069,0.078,0.047,-0.056
"V113_2",0.074,0.062,-0.025,-0.017,-0.003
"V113_3",-0.015,-0.042,-0.014,0.044,-0.046
"V113_4",-0.038,-0.06,0.008,0.052,-0.032
"V114_2",0.052,0.064,-0.066,-0.046,0.02
"V114_3",0.001,-0.059,0.018,0.053,-0.038
"V114_4",-0.028,-0.058,0.04,0.079,-0.054
"V115_2",0.027,0.036,-0.093,0.019,0.039
"V115_3",0.033,-0.044,0.018,-0.01,-0.067
"V115_4",-0.024,-0.048,0.074,0.024,-0.083
"V116_2",0.007,0.045,-0.107,0.019,0.069
