"","Country.Code","Country.Title","PC1","PC2","PC3","PC4","PC5"
"1",12,"Algeria",-172.018885033478,16.1032505580523,-91.1484969485419,84.9979290013081,-37.3875050702268
"2",31,"Azerbaijan",-112.964801124681,174.526570751616,52.1365532688579,-101.173945684768,46.7994885296689
"3",32,"Argentina",163.424846006319,-110.839121630975,-58.8089575679484,-31.3350049122942,-33.1186187423835
"4",36,"Australia",276.442014950389,-40.1462062508703,-65.2537925564129,59.6492735397948,102.33013021286
"5",51,"Armenia",-158.031553730024,91.7487748648429,-56.562619736928,-146.786255701196,-0.920800247184478
"6",76,"Brazil",18.585051873008,-173.832526126427,-32.2621132552014,-90.4624801056962,-43.9960182995467
"7",112,"Belarus",80.5778922451993,96.3225039983602,97.1195423680073,-92.3319081125958,27.8706757976889
"8",152,"Chile",116.947116906242,-91.2691817538308,-4.66117761788685,-50.0019940883752,-37.6086823478924
"9",156,"China",104.626070968096,221.935070324332,31.8523372299472,42.1975583770462,-70.0572994215542
"10",158,"Taiwan",148.431736452282,37.2099923928003,91.8940828387239,-12.2624741103867,-43.9797944844425
"11",170,"Colombia",-48.1766321262484,-196.547992067585,-22.0164910172565,-75.0962140179527,-57.7636410387953
"12",196,"Cyprus",37.051657094823,-19.5364425423167,-33.4921091769257,-27.9163551353756,80.8051199940491
"13",218,"Ecuador",-91.5705467638759,-112.188192417981,7.34664726703049,-50.5498243421527,-41.7655034182992
"14",233,"Estonia",155.812600257415,113.434344209508,54.2680231820563,-72.9490853002067,4.7962116364655
"15",268,"Georgia",-159.473393721293,52.8479364899353,-54.8098381829362,-127.284110077077,48.236859965475
"16",275,"Palestine",-115.949362024003,115.51418578396,-141.837907036949,140.327164826839,-92.014045321694
"17",276,"Germany",258.532262102605,22.666755129019,-59.6216252354401,34.0823247105971,87.6770286106361
"18",288,"Ghana",-208.805429644153,-129.49179655062,75.0310498775627,65.6645956384882,84.8523855931448
"19",344,"Hong Kong SAR, China",197.783467214135,97.6824536087091,68.6972834228759,91.7433805020714,-94.8312053146182
"20",356,"India",-111.066597598766,-5.68458007377889,79.6374131222987,80.3939768915919,38.7577600886306
"21",368,"Iraq",-179.076839269436,68.8296633468467,-65.2150284697642,62.4378798668709,-37.7414441567358
"22",392,"Japan",204.373264840521,163.312290396915,-5.40564409750444,52.2427050211465,-164.977784505424
"23",398,"Kazakhstan",0.678147187958312,91.4552651800261,113.757542977449,-123.899816608894,22.6013192891455
"24",400,"Jordan",-218.461141652872,59.7948343502963,-107.002423767851,46.5134408652037,68.7529769042508
"25",410,"Korea, Dem. People’s Rep.",139.871931212758,110.051843193463,95.0524528591025,41.7685189746192,-57.1740552922772
"26",417,"Kyrgyz Republic",-107.666920441687,50.6961781576815,133.326530995944,-28.1329528683164,4.15923287226995
"27",422,"Lebanon",-37.9355207850521,-7.52619798605967,-10.8457202888591,90.6296046312316,-82.8944504398026
"28",434,"Libya",-273.055386525957,15.8431274212354,-110.846552990674,43.9645009782412,41.9090274672178
"29",458,"Malaysia",-118.564902986319,27.1964708097718,144.85953890846,53.4176727578368,5.09977427466696
"30",484,"Mexico",-53.9920586545339,-190.944631330127,-10.7686914264329,-87.1043389043226,-71.5266618077871
"31",504,"Morocco",-185.30354115172,53.1547408195033,-57.6452048194099,22.5301426916448,-7.04775075502196
"32",528,"Netherlands",336.212426244004,12.5288010810016,-71.235751047894,48.1854358693863,38.4426314014383
"33",554,"New Zealand",263.157905808635,-58.6424141517788,-40.4332037918085,80.3580414985793,87.8920718912951
"34",566,"Nigeria",-181.884325236166,-104.824182259322,116.533429540137,110.067693067749,11.642110045801
"35",586,"Pakistan",-216.293745020458,-10.1160163641339,7.16554882826396,63.3489786536805,-14.0281590434943
"36",604,"Peru",-3.3355451830503,-143.425551207289,-19.0945270569248,-86.0151191480294,-113.582771037928
"37",608,"Philippines",-120.651494383513,-85.6435936853749,127.713388089397,-3.90634554298028,-17.8621710584487
"38",616,"Poland",112.773194234378,-23.9281646345299,-28.8007303455857,-81.2811891452837,-9.68628987142499
"39",642,"Romania",-46.7959697330629,-22.9853990594891,-42.413281879483,-108.969954677161,12.4713964963506
"40",643,"Russian Federation",41.9626092284515,95.2006262637773,49.1457517803398,-133.068519466031,-48.0964280246095
"41",646,"Rwanda",-84.1215884819441,-85.9790976331224,126.892782346947,93.0066949201197,-48.2898745270444
"42",702,"Singapore",142.632033005736,62.6026116342452,102.961129688806,117.277064667946,30.8325836327483
"43",705,"Slovenia",199.296068599739,-7.93168127476547,-93.1604874712659,-60.0178601759413,1.60743782347826
"44",710,"South Africa",-19.8191476772216,-107.567787897585,104.977803264793,108.470858305282,-41.8918678405794
"45",716,"Zimbabwe",-124.914883973851,-134.642379086272,91.5268368676875,50.1404180969111,1.42262441813313
"46",724,"Spain",215.66347709407,14.9750041565954,-107.306527036815,-3.42754577461011,-58.8710758717876
"47",752,"Sweden",343.814647483743,-53.9280524195808,-73.235857032247,73.2434833691367,133.733447583458
"48",764,"Thailand",-17.775776524168,7.29129890280025,86.5196388376905,19.2364920530525,20.9914398329839
"49",780,"Trinidad and Tobago",-9.98643958283614,-180.998720111935,-30.1925698244312,6.82915649768925,71.9050849426766
"50",788,"Tunisia",-222.736581287955,53.4428640532644,-180.041669004953,25.7060243948044,-42.6020894547013
"51",792,"Turkey",-109.456302063246,82.6430587863299,10.8435162560279,11.7530898244189,74.0802949720686
"52",804,"Ukraine",26.9275412580946,60.2099165252637,68.878617048907,-165.060366632478,-38.2911031810865
